date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.363       0.749       1.670       2.413
20150802       2.197       1.541       0.828       1.648
20150803       1.463       0.701       1.021       1.486
20150804       1.172       0.620       0.747       1.169
20150805       6.704       6.591       2.184       2.605
20150806       3.183       1.294       4.234       4.358
20150807       2.043       0.876       1.276       1.348
20150808       1.509       0.745       0.834       1.230
20150809       1.110       0.657       0.741       1.238
20150810       0.880       0.580       0.659       0.865
20150811       0.723       0.516       0.580       0.788
20150812       0.595       0.455       0.516       0.644
20150813       0.491       0.402       0.455       0.503
20150814       0.414       0.355       0.401       0.444
20150815       0.359       0.314       0.355       0.354
20150816       0.311       0.302       0.317       0.334
20150817       0.276       0.251       0.278       0.265
20150818       0.238       0.222       0.250       0.238
20150819       0.210       0.196       0.221       0.224
20150820       0.191       0.172       0.197       0.192
20150821       0.174       0.152       0.172       0.178
20150822       0.154       0.133       0.152       0.150
20150823       0.140       0.117       0.133       0.136
20150824       0.151       0.104       0.117       0.130
20150825       9.025       2.976       0.485       0.579
20150826       8.275       8.380       3.098       4.629
20150827      10.522       7.908       8.112       8.239
20150828       7.297       6.963       5.870       5.383
20150829       4.499       2.173       4.940       4.723
20150830       2.937       0.892       2.172       2.287
20150831       1.889       0.710       0.886       1.140
20150901       1.606       0.629       0.825       1.429
20150902      34.166      23.946       6.515       8.834
20150903      32.652      22.955      24.298      29.032
20150904      20.295      14.193      20.598      15.957
20150905      12.074       6.380      11.425      11.805
20150906       7.554       4.106       6.531       6.822
20150907       4.612       1.439       3.423       3.954
20150908       2.754       1.058       1.322       1.774
20150909       1.667       0.947       1.061       1.978
20150910       1.172       0.846       0.946       1.512
20150911       0.938       0.756       0.845       1.006
20150912       0.815       0.674       0.756       0.852
20150913       1.388       1.201       0.682       0.748
20150914       3.696       2.721       2.062       2.231
20150915      26.563      11.342       8.963      10.444
20150916      20.642      22.132      14.351      19.098
20150917      26.344      14.720      22.112      18.892
20150918      23.514      23.269      22.606      23.012
20150919      12.860       7.643      17.259      15.778
20150920       7.717       3.941       7.645       6.986
20150921       4.702       1.889       3.951       3.694
20150922       3.478       1.260       2.953       3.037
20150923       8.839       6.950       3.393       4.200
20150924       5.722       2.347       5.196       6.694
20150925       5.689       5.849       3.542       4.216
20150926       4.232       1.681       4.419       3.960
