date          Qobs       Qsimobs        Qsim       Qusi
20150801       6.947       7.785      10.314       8.872
20150802       9.290      10.339      11.139       7.935
20150803       7.795      10.144      11.836      11.888
20150804      12.255      11.087      10.761      10.167
20150805      15.830      14.927      14.780      12.825
20150806      11.924      11.669      14.527      15.681
20150807      21.967      19.668      12.963       9.731
20150808      11.077      13.570      16.196      19.173
20150809       9.488      10.322      13.209      10.404
20150810      11.727      11.148      10.805       8.847
20150811      17.979      15.190      10.425       9.421
20150812      13.950      12.279      12.986      12.072
20150813       7.493       6.913      11.775      10.306
20150814       6.911       8.168       9.419       6.351
20150815      10.818      11.423       9.556       8.091
20150816      28.957      22.241      12.482      11.337
20150817      16.359      14.611      18.668      21.684
20150818      10.327      11.132      13.917      12.906
20150819       9.236      11.179      11.676       9.758
20150820       8.022      11.359      11.222       8.588
20150821       7.750       9.906      11.243       8.726
20150822       8.721       9.397      10.016       6.895
20150823       6.117       7.446       9.162       8.107
20150824       6.039       7.817       7.611       5.447
20150825       9.004       7.144       7.389       6.134
20150826       9.599      12.838       7.781       8.463
20150827      19.832      12.422      11.223       8.998
20150828      21.847      19.599      15.185      15.635
20150829      23.581      23.131      19.289      19.780
20150830      28.841      24.804      20.291      16.499
20150831      14.590      21.355      19.512      15.643
20150901       5.943       5.156      16.314      10.082
20150902       4.590       5.497       5.305       3.419
20150903       3.991       5.725       5.086       3.586
20150904       3.032       4.349       4.197       3.649
20150905       4.599       8.590       5.234       3.436
20150906       2.683       3.322       5.880       4.638
20150907       1.877       2.316       2.606       1.568
20150908       1.804       3.291       3.641       3.048
20150909       1.670       3.477       3.898       2.839
20150910       1.535       4.317       4.435       1.964
20150911       1.470       3.358       4.289       1.733
20150912       1.610       3.459       3.294       1.167
20150913       2.011       2.421       3.327       1.852
20150914       3.043       4.112       2.970       1.502
20150915       3.695       3.177       2.710       1.870
20150916       7.038      10.525       4.896       4.861
20150917       2.733       2.183       6.897       6.052
20150918       2.231       2.066       2.241       1.420
20150919       2.459       3.320       1.923       1.930
20150920       2.294       2.344       2.705       2.343
20150921       1.535       1.368       1.649       1.688
20150922       1.189       1.090       1.321       1.192
20150923       1.195       2.173       1.339       1.199
20150924       1.746       2.088       1.935       1.230
20150925      17.391      18.816       5.036       3.737
20150926      19.154      19.590      14.492      18.529
20150927       5.704       3.748      13.722      10.970
20150928       2.808       1.548       3.360       2.008
20150929       1.860       1.315       1.580       1.562
20150930       1.851       2.039       1.359       1.639
20151001       3.036       4.820       1.821       1.598
20151002      11.277       5.942       3.501       2.110
20151003       6.736       8.320       4.217       5.896
20151004       4.252       4.144       5.272       4.582
20151005       2.668       1.866       3.297       2.609
20151006       1.715       1.432       1.653       1.362
20151007       1.291       1.477       1.249       1.268
20151008       1.580       1.878       1.253       1.180
20151009       5.602       6.981       1.894       1.301
20151010       2.331       1.519       4.442       3.925
20151011       1.593       0.998       1.328       1.038
20151012       1.277       0.807       0.808       0.908
20151013       1.078       0.747       0.679       0.908
20151014       0.918       0.622       0.618       0.853
20151015       0.801       0.390       0.544       0.808
20151016       0.713       0.372       0.463       0.733
20151017       0.634       0.396       0.399       0.752
20151018       0.567       0.444       0.351       0.623
20151019       0.515       0.318       0.377       0.532
20151020       0.518       0.324       0.331       0.488
20151021       7.255       5.426       1.522       2.269
20151022      43.631      17.379       9.001       6.758
20151023      26.796      45.687      30.214      47.070
20151024       7.641       4.839      32.390      18.779
20151025      21.113      28.136       7.059       4.098
20151026      26.427      25.677      24.357      16.852
20151027      11.291       8.694      22.319      16.105
20151028       4.978       1.472       5.982       3.599
20151029       2.731       0.629       1.590       1.911
20151030       1.985       0.851       1.059       2.046
20151031       6.745       3.078       2.941       6.059
20151101      12.678      10.076       5.753       9.579
20151102       5.353       3.771   -9999.000   -9999.000
20151103       3.107       1.246       3.033       2.246
20151104       3.136       2.518       1.275       1.780
20151105       2.204       1.250       1.953       2.518
20151106       1.650       1.174       1.219       1.528
20151107      16.013       9.241       3.937       4.264
20151108       6.970       5.179       6.635       5.973
20151109      27.558      22.467       6.386       7.264
20151110      39.664      43.286      30.089      32.614
