date          Qobs       Qsimobs        Qsim       Qusi
20150801      77.976      29.018      40.413      79.360
20150802      81.463      51.717      35.459      62.224
20150803      74.550      41.809      44.540      70.305
20150804      63.860      30.123      38.295      58.491
20150805      54.291      26.622      29.746      51.636
20150806      50.216      25.425      26.959      50.355
20150807      47.906      33.318      27.570      50.626
20150808      50.205      31.845      29.646      47.478
20150809      48.708      29.757      29.711      45.211
20150810      45.151      26.202      34.145      47.529
20150811      40.504      24.073      25.988      41.904
20150812      46.544      29.464      25.532      40.203
20150813      47.712      24.652      27.483      41.188
20150814      39.850      23.769      25.437      46.313
20150815      35.589      22.241      23.563      37.343
20150816      32.960      20.774      22.185      33.599
20150817      31.009      19.485      20.777      31.199
20150818      29.335      18.403      19.491      29.257
20150819      27.795      17.225      18.382      27.659
20150820      25.392      16.077      17.218      26.153
20150821      23.118      15.006      16.078      24.179
20150822      21.859      14.065      15.006      21.709
20150823      20.983      13.123      14.058      20.572
20150824      20.363      12.454      13.171      19.709
20150825      19.754      11.664      12.416      18.938
20150826      19.297      10.934      11.647      18.485
20150827      18.808      10.289      10.934      18.038
20150828      19.000      10.347      10.333      17.298
20150829      23.175       9.838      12.004      20.353
20150830      25.584      10.122       9.769      21.091
20150831      23.506       9.560       9.972      24.755
20150901      23.028      12.103      11.350      26.935
20150902      21.165       9.646      11.188      21.803
20150903      19.830       9.190       9.777      19.700
20150904      19.232       8.885       9.376      19.288
20150905      20.684      10.495       9.839      20.326
20150906      24.224      18.157      12.887      25.256
20150907      23.419      13.375      15.807      23.773
20150908      21.399      11.719      13.152      21.117
20150909      19.965      11.504      12.250      20.520
20150910      18.907      10.417      11.814      19.026
20150911      17.815       9.708      10.132      17.635
20150912      16.878       9.121       9.708      16.702
20150913      16.240       8.930       9.122      15.772
20150914      15.817       8.554       8.771      15.661
20150915      15.518       8.318       8.454      15.104
20150916      15.280       8.765       8.306      14.889
20150917      15.103       8.636       8.070      14.825
20150918      15.761       8.342       8.094      14.525
20150919      41.115      29.435      16.045      28.213
20150920      44.744      27.808      28.361      45.087
20150921      34.493      21.027      25.571      43.862
20150922      30.472      18.634      20.847      32.156
20150923      29.089      22.381      20.188      29.985
20150924      29.216      22.223      22.382      28.986
20150925      27.985      18.985      21.277      27.385
20150926      27.757      20.840      21.360      29.336
20150927      33.048      23.873      22.434      29.045
20150928      31.855      19.740      22.622      31.370
20150929      29.680      18.978      20.492      31.027
20150930      32.337      29.419      20.190      30.293
20151001      30.659      39.667      27.759      35.047
20151002      29.597      30.373      36.424      30.920
20151003      28.709      30.090      30.342      28.435
20151004      25.323      26.212      29.312      27.476
20151005      24.325      25.546      26.656      23.823
20151006      21.254      22.705      24.971      22.889
20151007      19.881      21.021      22.652      20.013
20151008      21.059      19.794      20.970      17.776
20151009      19.743      18.600      19.689      19.901
20151010      18.862      17.502      18.600      19.209
20151011      18.870      16.462      17.855      18.724
20151012      19.212      23.855      19.802      20.779
20151013      20.358      28.758      17.069      18.915
20151014      21.099      26.384      25.160      22.936
20151015      21.356      28.926      30.740      22.326
20151016      21.804      33.161      28.984      22.183
20151017      21.304      29.981      35.212      25.209
20151018      27.436      36.353      31.729      22.055
20151019      29.028      32.321      34.360      25.114
20151020      25.035      29.592      31.863      27.232
20151021      22.595      31.629      29.829      24.290
20151022      20.834      30.544      28.237      21.494
20151023      16.732      28.501      26.747      19.838
20151024      16.025      26.865      28.492      16.495
20151025      17.667      26.487      27.266      15.755
20151026      17.084      29.514      26.339      17.216
20151027      13.880      28.698      27.203      17.234
20151028      13.150      21.895      26.052      13.530
20151029      15.076      20.178      25.633      12.095
20151030      12.148      18.822      23.710      14.563
20151031      15.907      17.509      18.961      11.907
20151101      20.433      17.646      18.981      14.637
20151102      22.003      50.277   -9999.000   -9999.000
20151103      19.391      42.838      43.161      29.297
20151104      17.601      48.034      41.136      20.612
20151105      15.800      44.033      38.013      18.005
20151106      13.282      41.580      36.186      15.730
20151107      14.814      38.637      41.057      14.443
20151108      14.376      36.582      38.759      13.396
20151109      13.036      34.056      36.141      13.727
20151110      14.466      32.086      34.442      11.041
20151111      13.281      32.432      32.104      14.328
20151112      12.010      30.860      30.709      13.233
20151113      11.282      29.493      29.247      11.689
20151114      13.565      27.523      29.435      10.977
20151115      12.308      26.680      28.183      13.338
20151116      13.698      24.622      26.352      11.954
20151117      14.321      21.717      24.596      12.714
20151118      12.022      20.501      23.354      14.548
20151119      10.969      19.946      21.771      11.796
20151120       9.444      18.338      19.646      10.646
20151121      11.261      20.196      18.525       9.220
20151122      14.460      17.040      18.905      10.207
20151123      19.435      16.459      17.055      12.357
20151124      25.459      15.027      16.187      18.192
20151125      36.112      14.070      15.198      22.494
20151126      44.124      13.132      14.050      32.078
20151127      33.228      12.838      13.546      41.884
20151128      21.398      12.600      13.234      33.662
20151129      28.871      12.071      12.624      20.886
20151130      16.281      11.889      12.357      25.995
20151201      13.202      12.051      12.393      17.764
20151202      11.700      12.231      12.194      13.389
20151203      11.150      11.497      12.064      11.577
20151204      10.252      11.450      11.638      10.838
20151205       9.833      10.991      11.348      10.119
20151206       9.803      12.535      11.483      10.131
