date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.040       1.328       1.473       1.023
20150802       1.197       2.922       1.626       1.180
20150803       1.280       1.957       2.007       1.228
20150804       1.336       1.659       1.980       1.103
20150805       2.082       4.572       2.584       1.688
20150806       2.429       2.893       3.507       2.080
20150807       2.367       2.529       3.139       2.259
20150808       2.154       2.139       2.524       2.138
20150809       1.997       1.828       2.140       1.966
20150810       1.814       2.775       1.827       1.781
20150811       1.841       2.406       1.584       1.628
20150812       1.952       3.019       2.596       1.747
20150813       1.876       2.019       3.079       2.093
20150814       1.728       1.723       2.528       1.682
20150815       1.594       1.549       1.721       1.530
20150816       3.096       7.178       2.169       1.997
20150817       4.889       6.000       3.768       2.393
20150818       4.773       4.442       5.369       4.530
20150819       4.188       3.826       4.438       4.339
20150820       3.581       3.299       3.826       3.984
20150821       3.032       2.846       3.299       3.279
20150822       2.564       2.454       2.846       2.792
20150823       2.222       2.128       2.454       2.362
20150824       1.972       1.871       2.129       1.990
20150825       3.080       3.913       2.880       2.662
20150826       5.649       8.586       4.615       3.389
20150827       9.653      10.444       6.918       7.275
20150828      12.022       8.703      10.890      10.430
20150829      10.254       6.182       7.792      10.342
20150830       8.391       5.324       6.358       8.566
20150831       6.795       4.575       5.290       7.402
20150901       5.682       3.970       4.698       6.214
20150902       6.852       9.896       4.796       5.893
20150903      12.378      13.437       8.012       7.574
20150904      11.883       7.992      10.326      11.384
20150905       9.618       6.321       7.873       9.510
20150906       7.621       5.261       6.397       8.268
20150907       6.039       4.596       5.264       6.718
20150908       4.901       4.006       4.583       5.420
20150909       4.064       3.493       3.991       4.380
20150910       3.421       3.043       3.491       3.744
20150911       2.921       2.689       3.043       3.114
20150912       2.711       3.163       2.701       2.740
20150913       3.691       5.021       3.496       3.167
20150914       5.991       5.695       5.015       3.990
20150915      13.511      10.867       5.831       5.709
20150916      18.526      13.953      10.649      13.318
20150917      16.426       9.374      12.175      20.026
20150918      14.401       9.875       9.812      14.222
20150919      11.276       6.804       8.718      12.829
20150920       8.754       5.634       6.805       9.067
20150921       6.947       4.877       5.638       7.719
20150922       5.810       4.378       5.082       6.621
20150923       5.203       4.735       4.728       5.739
20150924       4.830       4.167       4.521       5.115
20150925       5.122       5.353       4.684       5.065
20150926       4.797       4.052       4.740       4.901
20150927       4.324       3.516       4.066       4.395
20150928       3.839       3.077       3.515       3.890
20150929       3.348       2.693       3.063       3.444
20150930       2.983       1.681       2.675       3.040
20151001       2.546       1.491       2.371       2.740
20151002       2.325       1.347       2.090       2.401
20151003       2.180       1.247       1.347       2.128
20151004       1.987       1.453       1.247       1.992
20151005       1.831       1.326       1.177       1.917
20151006       1.713       1.289       1.122       1.802
20151007       1.614       1.421       1.268       1.673
20151008       1.538       1.336       1.491       1.714
20151009       1.641       2.172       1.500       1.700
20151010       1.707       2.292       2.208       1.977
20151011       1.721       2.090       2.187       1.862
20151012       1.739       2.011       2.113       1.585
20151013       1.721       1.889       1.941       1.580
20151014       1.650       1.575       1.779       1.576
20151015       1.568       1.389       1.576       1.450
20151016       1.478       1.277       1.389       1.420
20151017       1.389       1.211       1.277       1.389
20151018       1.305       1.153       1.211       1.320
20151019       1.233       1.103       1.153       1.270
20151020       1.151       1.064       1.103       1.195
20151021       1.116       1.039       1.062       1.146
20151022       1.081       1.142       1.046       1.116
20151023       1.075       1.043       1.143       1.149
20151024       1.113       1.013       1.031       0.973
20151025       1.086       1.104       1.103       1.188
20151026       1.100       1.007       1.056       1.083
20151027       1.074       0.982       1.003       1.043
20151028       1.043       0.960       0.982       1.032
20151029       1.009       0.938       0.960       1.031
20151030       0.980       0.927       0.938       1.006
20151031       1.013       1.520       1.109       1.125
20151101       1.010       1.192       1.141       1.086
20151102       1.000       1.002   -9999.000   -9999.000
20151103       1.025       0.932       0.998       0.834
20151104       1.005       0.907       0.932       0.968
20151105       0.987       0.895       0.911       0.993
20151106       0.996       0.992       0.915       1.002
20151107       1.463       2.526       1.493       1.526
20151108       2.396       4.827       2.022       2.164
20151109       3.635       5.015       3.694       1.874
20151110       4.232       4.379       4.647       3.248
20151111       4.146       3.724       4.238       3.966
20151112       4.044       4.068       3.727       3.734
20151113       4.288       4.612       3.882       4.087
20151114       4.413       3.849       4.189       3.908
20151115       4.114       3.585       3.755       4.039
