date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.375       0.296       0.337       0.318
20150802       0.394       0.253       0.293       0.338
20150803       0.464       0.276       0.281       0.378
20150804       0.510       0.241       0.307       0.440
20150805       0.453       0.194       0.251       0.432
20150806       0.433       0.237       0.212       0.370
20150807       0.424       0.334       0.235       0.392
20150808       0.414       0.266       0.252       0.334
20150809       0.405       0.227       0.257       0.321
20150810       0.388       0.180       0.254       0.360
20150811       0.371       0.178       0.208       0.298
20150812       0.379       0.290       0.197       0.355
20150813       0.373       0.312       0.249       0.362
20150814       0.362       0.231       0.273       0.316
20150815       0.350       0.160       0.229       0.297
20150816       0.330       0.153       0.172       0.281
20150817       0.316       0.145       0.159       0.303
20150818       0.304       0.136       0.149       0.288
20150819       0.294       0.142       0.140       0.230
20150820       0.286       0.130       0.144       0.236
20150821       0.279       0.124       0.136       0.220
20150822       0.272       0.119       0.130       0.215
20150823       0.267       0.116       0.123       0.219
20150824       0.263       0.103       0.117       0.212
20150825       0.258       0.108       0.106       0.202
20150826       0.228       0.097       0.109       0.198
20150827       0.196       0.097       0.102       0.194
20150828       0.190       0.102       0.093       0.158
20150829       0.188       0.092       0.102       0.168
20150830       0.185       0.133       0.092       0.152
20150831       0.183       0.259       0.107       0.196
20150901       0.183       0.165       0.333       0.248
20150902       0.180       0.088       0.141       0.128
20150903       0.175       0.058       0.081       0.102
20150904       0.171       0.054       0.061       0.112
20150905       0.168       0.109       0.063       0.131
20150906       0.185       0.101       0.122       0.214
20150907       0.189       0.061       0.084       0.134
20150908       0.179       0.050       0.062       0.124
20150909       0.168       0.056       0.061       0.127
20150910       0.163       0.051       0.055       0.113
20150911       0.160       0.044       0.048       0.122
20150912       0.158       0.042       0.047       0.121
20150913       0.155       0.040       0.044       0.120
20150914       0.152       0.044       0.041       0.112
20150915       0.141       0.042       0.044       0.126
20150916       0.131       0.041       0.042       0.111
20150917       0.123       0.038       0.042       0.098
20150918       0.119       0.045       0.042       0.102
20150919       0.213       0.296       0.089       0.189
20150920       0.240       0.286       0.266       0.268
20150921       0.218       0.170       0.215       0.195
20150922       0.183       0.092       0.114       0.128
20150923       0.168       0.110       0.093       0.106
20150924       0.162       0.089       0.107       0.126
