date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.789       3.257       4.314       3.860
20150802       7.716      41.991       6.612       8.194
20150803       9.368      12.992      16.249       8.379
20150804       9.874      11.111      14.350       9.407
20150805      14.468      28.645      15.950      12.067
20150806      18.930      16.036      19.621      12.608
20150807      18.919      11.772      15.528      15.230
20150808      16.331       8.957      11.503      13.099
20150809      13.198       7.211       8.956      12.392
20150810      10.885       5.700       7.231       9.316
20150811       9.254       6.904       6.324       8.839
20150812       8.225       4.627       7.033       6.983
20150813       7.220       3.672       4.825       6.143
20150814       6.314       3.017       3.660       5.851
20150815       6.679      10.277       5.664       8.035
20150816      15.179      56.013      13.103      10.502
20150817      27.247      32.246      49.883      22.660
20150818      28.879      18.286      24.439      19.996
20150819      23.642      14.125      17.602      21.371
20150820      18.110      11.231      14.137      18.547
20150821      13.813       9.025      11.239      14.232
20150822      10.910       7.269       9.025      10.933
20150823       8.875       5.847       7.269       9.221
20150824       7.437       4.517       5.848       7.261
20150825       6.650       7.801       6.926       8.710
20150826      11.390      28.541      17.412      17.279
20150827      44.871      66.169      31.651      19.923
20150828      65.197      43.354      45.242      39.708
20150829      57.770      28.088      36.592      42.584
20150830      43.170      22.493      25.887      35.225
20150831      31.464      17.123      21.451      28.710
20150901      23.618      13.777      17.339      24.197
20150902      21.254      34.676      25.314      30.828
20150903      30.664      43.495      41.555      32.469
20150904      42.157      42.508      38.377      31.198
20150905      38.397      22.682      32.933      31.401
20150906      29.403      17.831      22.603      29.724
20150907      21.808      15.976      17.816      23.415
20150908      16.419      12.967      14.420      17.980
20150909      12.702      10.507      11.704      13.800
20150910      10.247       8.513      10.523      10.686
20150911       8.430       6.886       8.521       8.688
20150912       7.083       6.992       6.886       7.106
20150913       6.887      10.057       8.592       7.643
20150914      18.830      38.800      19.397      15.094
20150915      69.450      91.993      46.970      31.658
20150916      86.656      65.346      65.005      68.130
20150917      71.310      53.005      76.923      83.055
20150918      59.539      46.667      51.438      53.200
20150919      41.851      24.771      36.312      36.995
20150920      28.797      19.560      24.742      32.246
20150921      20.728      16.011      19.575      23.404
20150922      17.215      20.703      17.880      18.200
20150923      18.175      29.587      20.555      17.896
20150924      17.436      17.432      24.069      17.812
20150925      22.735      37.332      25.605      21.476
20150926      28.536      27.435      31.364      25.158
20150927      25.962      18.514      24.427      23.013
20150928      20.873      15.902      18.536      20.170
20150929      16.413      12.931      14.793      16.636
20150930      12.995       6.209      12.017      13.672
20151001      10.678       5.019      10.510      10.930
20151002       8.978       4.027       8.543       8.678
20151003       7.558       3.474       4.027       7.213
20151004       6.423       4.471       3.470       6.383
20151005       5.405       3.661       3.156       5.570
20151006       4.671       3.557       2.898       4.052
20151007       4.138       3.609       3.933       4.309
20151008       3.750       6.387       8.747       9.908
20151009       3.791      12.230       9.594       7.466
20151010       4.196       9.615       9.547       4.832
20151011       4.607       6.392       8.125       3.809
20151012       5.150       5.806       6.369       4.344
20151013       5.500       5.111       6.064       5.086
20151014       5.478       3.864       5.369       4.849
20151015       5.216       3.280       3.853       4.401
20151016       4.867       2.993       3.281       4.404
20151017       4.427       2.730       2.993       4.213
20151018       4.033       2.489       2.730       4.079
20151019       3.653       2.186       2.489       3.638
20151020       3.314       2.126       2.270       3.327
20151021       3.095       3.407       2.076       2.858
20151022       3.102      10.516       4.322       4.678
20151023       3.784      12.344       8.417       4.068
20151024       4.499       7.436       9.388       4.420
20151025       7.128      24.539      11.635       6.394
20151026      10.290      14.246      18.939       8.614
20151027      11.598      10.557      13.484       9.523
20151028      11.230       8.236      10.631       9.399
20151029      10.161       6.623       8.239       8.924
20151030       9.068       6.363       6.759       7.623
20151031       8.314      10.232       5.901       7.625
20151101       7.783       6.499       7.986       7.221
20151102       7.316       5.094   -9999.000   -9999.000
20151103       6.768       4.069       5.094       5.966
20151104       6.185       3.797       4.046       5.184
20151105       5.677       3.432       3.465       4.934
20151106       5.437      12.226       4.110       5.235
20151107       7.535      14.627       8.539       8.422
20151108      15.067      37.343      15.286       8.716
20151109      31.879      65.135      30.519      23.581
20151110      47.913      59.984      64.592      46.318
20151111      42.217      28.072      46.629      38.258
20151112      32.620      27.859      30.731      30.437
20151113      34.192      60.451      32.818      35.025
20151114      40.256      43.932      49.273      40.216
20151115      40.201      41.139      42.576      33.798
20151116      37.932      31.967      64.065      46.763
20151117      44.587      56.563      39.836      40.725
20151118      47.729      42.417      52.398      46.293
20151119      47.500      54.415      37.238      34.604
20151120      40.609      25.560      44.792      38.282
20151121      30.179      20.031      25.116      27.465
20151122      22.328      16.016      20.042      23.962
20151123      16.876      12.830      16.009      18.349
20151124      13.807      12.422      15.875      16.315
20151125      12.942      12.231      12.031      11.307
20151126      12.085       8.537      12.224      12.355
20151127      12.365      11.994      12.095      12.672
20151128      19.824      20.972      13.261      13.158
20151129      31.743      24.785      24.821      24.224
20151130      32.826      19.807      21.507      26.593
20151201      27.270      18.043      17.426      26.989
20151202      22.304      14.345      20.763      30.793
20151203      24.955      19.075      14.884      17.489
20151204      51.317      51.227      39.515      42.016
20151205     127.384     146.070      62.958      66.355
20151206     216.495     265.671     150.099     179.210
20151207     144.542     140.183     198.141     186.117
20151208      84.710      67.368     133.590     111.249
20151209      68.254      98.036      90.440      73.470
20151210      77.382     113.235      88.291      67.790
20151211      76.481      61.837      80.964      71.787
20151212      56.157      29.340      54.421      49.063
20151213      37.166      23.048      29.102      31.770
20151214      25.572      18.479      23.090      29.035
20151215      18.825      15.753      18.997      20.707
20151216      14.648      12.327      15.673      15.655
20151217      12.388      12.589      16.444      15.471
20151218      14.744      16.955      17.302      15.549
20151219      21.095      17.367      18.153      15.954
20151220      49.702      83.421      36.202      43.468
20151221      64.694      61.155   -9999.000   -9999.000
20151222      65.594      54.469   -9999.000   -9999.000
20151223      67.426      70.996      68.920      68.477
20151224      62.175      61.434      69.710      66.948
20151225      70.424     116.203      52.878      53.407
20151226      64.811      45.779      83.441      62.859
20151227      45.769      28.442      44.721      41.311
20151228      30.653      22.149      28.421      30.523
20151229      22.011      17.597      22.235      25.336
20151230      18.278      22.768      22.713      23.245
20151231      20.013      37.352      22.219      19.498
20160101      23.772      35.854      31.719      24.721
20160102      25.994      24.506      27.973      20.956
20160103      22.493      18.628      24.018      21.079
20160104      18.012      15.046      18.961      18.487
20160105      14.275      11.729      14.759      14.808
20160106      11.607       9.431      11.844      11.892
20160107       9.791       7.669       9.455       9.271
20160108       8.339       6.312       7.795       8.210
20160109       7.367       5.065       6.474       6.793
20160110       6.767       6.166       6.295       7.452
20160111       6.058       6.960       7.364       7.021
20160112       5.343       3.824       5.347       4.597
20160113       4.873       3.489       3.944       4.397
20160114       4.432       4.173       4.072       4.819
20160115       3.999       2.708       3.454       3.354
20160116       3.664       2.786       2.926       3.603
20160117       3.302       2.160       2.627       3.064
20160118       3.046       1.911       2.158       2.835
20160119       2.990       3.595       2.964       4.038
20160120       2.715       1.827       2.480       2.068
20160121       2.531       1.546       1.837       1.579
20160122       2.406       1.493       1.608       1.607
20160123       2.320       2.295       2.017       2.729
20160124       2.253       1.753       3.823       4.049
20160125       2.403       2.746       5.419       4.494
20160126       4.882       9.308       6.311       3.757
20160127      28.202      73.033      14.523       8.228
20160128      53.688      61.856      54.606      46.567
20160129      65.404      58.717      55.486      54.077
20160130      79.302     100.701      49.092      49.673
20160131      62.614      38.668      73.252      66.933
20160201      43.347      23.364      39.287      39.332
20160202      48.342      46.380      28.243      36.508
20160203      54.929      69.167      38.001      38.636
20160204      38.432      24.098      44.966      49.145
20160205      26.745      18.750      25.356      25.122
20160206      24.339      21.578      27.911      31.980
20160207      51.807      94.591      27.432      24.938
20160208      75.453     119.899      64.370      74.829
20160209      72.728      80.960      90.136      74.076
20160210      55.190      40.313      66.946      51.561
20160211      36.975      23.744      36.518      33.746
20160212      25.199      18.762      23.716      24.385
20160213      18.065      15.021      18.767      20.515
20160214      13.660      12.088      15.017      15.093
20160215      10.794       9.770      12.090      11.523
20160216       8.915       7.897       9.763       9.120
20160217       7.641       6.499       8.099       7.707
20160218       6.621       5.224       6.694       6.335
20160219       5.698       4.903       5.636       5.953
20160220       5.980      12.389       8.004       8.254
20160221       6.024       9.636      11.075       6.633
20160222       5.794       7.392       9.752       6.960
20160223       5.445       5.841       6.738       4.989
20160224       5.029       6.018       5.192       4.947
20160225       4.656       4.275       5.377       5.011
20160226       4.218       3.514       4.253       3.915
20160227       3.867       2.947       3.515       3.365
20160228       3.526       2.505       2.947       3.361
20160229       3.246       2.100       2.498       2.829
20160301       3.100       1.873       2.312       2.938
20160302       3.221       4.930       4.718       6.211
20160303       3.214       5.462       5.131       3.773
20160304       3.234       4.121       4.737       3.062
20160305       3.098       2.049       3.155       2.322
20160306       3.003       2.218       2.531       2.946
20160307       2.878       1.816       2.534       3.023
20160308       2.738       1.205       1.573       2.118
20160309       2.637       1.259       1.433       2.647
20160310       2.529       1.148       1.614       2.820
20160311       2.416       0.864       1.061       2.173
20160312       2.326       0.764       0.876       1.898
20160313       2.233       1.022       1.031       2.403
20160314       2.314       4.693       4.391      10.912
20160315       3.137      10.744       9.735       9.906
20160316       5.346      12.845      13.253       6.620
20160317       8.375      15.639      16.993       8.220
20160318      11.680      25.877      18.525      10.340
20160319      13.599      20.259      21.802      14.328
20160320      14.046      18.021      19.746      13.163
20160321      13.614      16.783      18.089      13.704
20160322      12.976      18.114      16.945      13.288
20160323   -9999.000   -9999.000      17.584      13.210
20160324      11.471      15.157   -9999.000   -9999.000
20160325      11.106      14.771   -9999.000   -9999.000
20160326      11.402      13.902   -9999.000   -9999.000
20160327      20.943      61.832      28.270      23.761
20160328      46.729      59.141      49.149      34.447
20160329      87.226     154.180      74.116      70.431
20160330      80.383      56.145     100.957      91.364
20160331      57.307      29.056      52.997      47.481
20160401      37.613      22.918      28.910      32.407
20160402      27.389      23.316      24.514      32.862
20160403      24.490      28.356      25.064      27.288
20160404      23.968      28.761      27.232      25.422
20160405      30.125      45.106      30.201      27.728
20160406      35.185      33.195      38.690      32.795
20160407      37.449      28.776      33.896      31.868
20160408      34.600      21.306      27.809      30.407
20160409      28.646      16.709      20.420      26.969
20160410      23.260      13.874      17.115      23.745
20160411      19.451      15.076      14.589      19.282
20160412      17.155      13.755      14.298      19.314
20160413      16.246      16.573      13.974      17.241
20160414      15.873      15.158      16.053      17.921
20160415      15.661      20.395      17.755      17.074
20160416      15.938      15.674      16.443      14.914
20160417      15.717      18.944      15.154      14.224
20160418      15.618      23.653      17.715      16.757
20160419      18.461      36.825      24.808      21.419
20160420      19.977      21.650      28.276      18.102
20160421      19.148      19.843      21.261      17.123
20160422      18.032      16.678      18.202      16.870
20160423      16.440      12.512      15.324      14.291
20160424      14.420      10.519      12.561      13.195
20160425      12.332       8.542      10.196      11.971
20160426      10.735       7.842       9.038      10.884
20160427       9.385       6.499       7.410       9.422
20160428       8.296       6.008       7.185       9.062
20160429       7.725       7.589       7.123       8.113
20160430       8.213      12.346       8.810       8.610
20160501       9.797      19.269      12.873      10.764
20160502      11.121      16.397      16.411      10.456
20160503      19.730      68.527      27.436      21.038
20160504      29.066      28.744      43.032      24.210
20160505      29.362      24.028      27.469      22.259
20160506      26.540      20.663      24.138      25.169
20160507      24.442      21.530      21.590      24.264
20160508      25.332      23.349      22.179      24.487
20160509      28.888      22.295      23.034      25.391
20160510      30.312      20.137      22.190      26.868
20160511      28.597      18.326      19.929      26.713
20160512      26.446      16.167      17.486      23.786
20160513      24.200      13.169      16.036      22.847
20160514      20.720       9.375      12.806      19.278
20160515      17.061       6.517       9.009      14.814
20160516      13.936       5.875       6.826      12.259
20160517      11.517       5.552       5.884      12.088
20160518       9.880       5.276       5.508      10.487
20160519       8.784       5.820       5.449       8.847
20160520       8.198       7.165       5.951       8.700
20160521       8.326       8.642       7.008       8.096
20160522      10.924      22.802      10.646      11.113
20160523      20.890      30.007      20.092      12.765
20160524      25.441      14.069      24.366      19.212
20160525      22.449      10.038      13.800      16.913
20160526      18.103       7.946      10.022      15.900
20160527      14.476       6.412       7.956      14.165
20160528      11.727       5.316       6.785      11.154
20160529       9.846       4.775       5.411       8.002
20160530       8.577       4.120       4.519       7.140
20160531       8.168      10.564       7.967      11.204
20160601       7.924       4.400       6.864       6.569
20160602       7.757       3.477       5.819       6.651
20160603       7.383       3.010       3.478       5.475
20160604       6.635       2.607       3.010       6.190
20160605       5.717       2.258       2.607       4.963
20160606       4.911       1.956       2.258       4.691
20160607       4.189       1.692       1.956       4.198
20160608       3.673       1.469       1.692       3.604
20160609       3.218       1.312       1.469       3.190
20160610       2.708       1.169       1.311       2.828
20160611       2.453       2.241       1.778       3.282
20160612       2.267       2.113       1.512       1.779
20160613       2.067       0.964       1.300       1.345
20160614       1.857       0.843       0.942       1.509
20160615       1.758       0.768       0.849       1.343
20160616       1.772       5.341       1.988       3.573
20160617       1.812       5.970       6.162       3.293
20160618       1.850       5.744       6.639       2.854
20160619       1.758       2.793       4.268       1.849
20160620       1.778       1.749       2.400       1.211
20160621       2.282      18.976       6.743       5.303
20160622       2.795       6.172      10.730       2.668
20160623       3.307       4.571       6.199       2.659
20160624       3.636       3.629       4.540       2.926
20160625       3.807       6.038       4.773       3.588
20160626       4.276       5.492       7.499       5.665
20160627       6.110      12.841       4.999       3.581
20160628       8.161       6.077       8.502       5.646
20160629       9.765       4.419       6.699       6.851
20160630      14.239      17.853      10.114      13.706
20160701      20.808      10.204      13.087      12.755
20160702      25.643      19.765      13.633      18.969
20160703      28.482      20.641      19.453      25.005
20160704      26.510      11.500      15.588      20.822
20160705      21.597       8.799      12.277      18.906
20160706      18.860       7.475       8.783      13.587
20160707  -10000.000       5.911       7.280      14.192
20160708  -10000.000       5.961       6.338      11.523
20160709  -10000.000       4.246       5.292       5.195
20160710  -10000.000       3.637       4.249       4.249
20160711  -10000.000      11.646       6.913       6.893
20160712  -10000.000      11.055       9.144       8.024
20160713  -10000.000       5.788       8.738       8.017
20160714  -10000.000       4.614       5.854       5.832
20160715  -10000.000       4.504      10.086      10.063
20160716  -10000.000       3.350       4.189       4.066
20160717  -10000.000       2.923       3.366       3.357
20160718  -10000.000       2.486       3.338       3.288
20160719  -10000.000       2.172       2.460       2.454
20160720  -10000.000       1.955       2.172       2.171
20160721  -10000.000       1.755       1.954       1.954
20160722  -10000.000       1.587       1.770       1.770
20160723  -10000.000       1.416       1.582       1.580
20160724  -10000.000       1.266       1.416       1.416
20160725  -10000.000       3.544       1.267       1.267
20160726       2.538       3.980       3.190       2.904
20160727       2.666       4.114       2.377       1.712
20160728       4.358      27.937       8.555       6.573
20160729       7.087      11.748      17.435       6.019
20160730      12.461      28.346      12.217       6.710
20160731      14.868      17.386      19.104      12.028
