date          Qobs       Qsimobs        Qsim       Qusi
20150801      27.675      29.448      39.125      41.573
20150802      23.551      25.201      29.626      24.253
20150803      25.186      31.502      25.890      22.241
20150804      21.123      23.957      30.839      26.447
20150805      30.915      28.799      25.958      21.452
20150806      36.150      31.586      27.673      25.735
20150807      23.880      25.346      30.528      41.427
20150808      24.071      29.070      24.473      22.852
20150809      19.849      26.200      25.880      24.343
20150810      19.046      22.528      26.318      21.527
20150811      22.207      25.147      23.624      19.571
20150812      31.814      29.199      22.961      20.020
20150813      21.693      25.569      25.056      29.456
20150814      16.135      21.294      24.133      21.637
20150815      14.812      17.609      22.059      16.118
20150816      23.516      21.617      18.824      13.082
20150817      21.317      18.730      21.201      23.590
20150818      15.087      18.031      19.664      23.815
20150819      12.562      17.491      18.781      17.343
20150820      11.118      17.826      18.225      13.843
20150821       9.951      17.804      18.256      12.479
20150822       9.493      17.600      18.038      11.053
20150823       8.678      16.176      18.063       9.473
20150824       8.125      16.794      16.920       8.773
20150825       9.087      15.906      16.713       8.160
20150826       9.997      14.975      16.053       8.590
20150827      13.817      14.800      14.770       9.288
20150828      20.541      14.600      13.896      11.332
20150829      15.218      18.630      13.336      15.876
20150830      11.565      30.132      16.239      17.986
20150831      10.682      29.296      23.317      13.822
20150901       7.871      18.662      25.468      12.028
20150902       5.092      12.623      17.831       6.887
20150903       3.982      10.587      12.867       4.326
20150904       3.259       9.256      10.595       3.748
20150905       3.239      10.515       9.491       3.782
20150906       3.677       9.807      10.198       3.602
20150907       3.581       8.034       9.330       3.664
20150908       3.153       6.761       8.288       4.142
20150909       2.745       5.883       7.055       2.873
20150910       2.630       5.288       6.481       2.710
20150911       2.520       4.748       5.603       2.455
20150912       2.650       4.808       4.949       2.303
20150913       2.999       5.473       4.843       2.344
20150914       4.070       6.379       5.013       3.229
20150915       4.367       6.285       5.082       3.678
20150916       4.519       6.833       6.547       4.655
20150917       4.275       6.415       6.880       5.194
20150918       7.463       6.896       7.129       5.294
20150919       6.444       8.036       6.664       4.462
20150920       6.112       9.033      10.059       9.898
20150921       4.727       6.330       7.802       5.964
20150922       3.722       5.066       5.749       4.444
20150923       3.098       5.076       5.022       3.695
20150924       2.906      10.168       5.063       3.664
20150925       2.790       6.576       8.461       3.590
20150926       4.132      10.209       7.160       3.114
20150927       5.134      13.062       9.227       4.634
20150928       4.208       8.263      11.250       5.752
20150929       3.633       9.145       8.372       4.469
20150930      12.609      19.294       9.822       4.474
20151001      24.491      28.493      16.692      10.565
20151002      46.616      40.236      21.096      18.596
20151003      25.632      26.520      33.015      26.380
20151004      18.121      18.938      23.820      28.758
20151005      11.563      15.953      18.449      14.960
20151006       6.951      13.089      15.653      12.881
20151007       5.790      11.460      13.095       7.765
20151008       4.798      10.471      11.295       5.585
20151009       3.903       9.317      10.206       4.585
20151010       4.162       8.096       9.344       3.183
20151011       4.620      10.151       8.568       5.290
20151012       6.510      10.812       9.637       4.794
20151013       7.720      11.751      10.248       6.752
20151014      10.437      16.894      11.703       8.159
20151015      14.958      17.631      15.159      12.131
20151016      22.542      47.167      17.437      11.391
20151017      16.223      29.821      37.917      39.526
20151018      11.414      31.060      26.472      16.178
20151019       7.875      19.318      25.566      10.916
20151020       6.177      15.461      18.556       8.041
20151021       5.362      15.626      15.531       7.057
20151022       5.317      14.512      15.722       6.490
20151023       7.928      18.506      14.400       6.156
20151024       6.855      13.334      17.252       7.878
20151025       7.667      22.980      13.349       7.678
20151026       5.844      16.503      18.719       8.099
20151027       4.170      13.319      15.994       6.992
20151028       4.213      11.243      13.319       4.358
20151029       4.766       9.487      11.243       3.726
20151030       4.807       8.003       9.728       4.191
20151031       5.477       6.749       9.880       5.070
20151101      19.184      24.514       9.466       6.617
20151102      17.249      26.300   -9999.000   -9999.000
20151103      19.372      34.981      23.679      17.801
20151104      26.191      50.966      31.546      25.310
20151105      14.319      21.632      40.624      25.323
20151106       8.623      17.676      21.253      10.797
20151107       7.497      15.809      17.878       8.378
20151108       6.067      13.551      15.961       9.408
20151109       4.268      11.808      13.514       7.417
20151110       3.967      13.867      11.657       4.565
20151111       4.265      11.072      12.812       4.445
20151112       2.642       9.269      10.912       4.021
