date          Qobs       Qsimobs        Qsim       Qusi
20150801      23.959      29.530      32.032      29.782
20150802      21.766      29.925      28.838      23.840
20150803      21.329      28.483      30.485      22.941
20150804      23.086      28.380      28.925      21.816
20150805      45.001      32.830      30.593      23.341
20150806      43.180      30.791      31.268      41.638
20150807      50.223      32.906      30.425      40.059
20150808      42.211      31.199      31.694      44.228
20150809      30.713      30.176      31.049      41.791
20150810      33.308      28.357      29.052      29.866
20150811      44.425      29.886      27.746      30.321
20150812      41.056      32.343      29.232      40.255
20150813      26.334      25.739      30.439      39.953
20150814      22.754      24.545      26.710      25.426
20150815      25.497      24.887      25.023      22.184
20150816      36.168      25.363      24.671      24.199
20150817      32.995      24.873      24.648      33.856
20150818      27.188      24.415      24.472      31.780
20150819      22.538      23.464      24.109      26.504
20150820      20.840      23.466      23.577      22.397
20150821      20.645      22.557      22.781      20.179
20150822      22.564      22.135      22.265      19.812
20150823      23.056      20.952      21.717      21.779
20150824      21.473      19.904      20.774      22.385
20150825      26.261      19.828      19.781      20.199
20150826      36.127      20.562      20.057      23.188
20150827      27.107      19.308      20.252      36.755
20150828      24.431      22.175      21.167      27.532
20150829      17.598      18.217      20.511      25.286
20150830      14.552      16.848      18.117      16.172
20150831      13.290      15.785      17.070      14.125
20150901      11.522      14.569      16.293      13.859
20150902      10.257      14.106      14.546      10.902
20150903       9.483      13.678      14.296      10.296
20150904       9.047      13.187      13.519       9.378
20150905      10.193      16.458      13.624       9.284
20150906       8.846      15.021      15.089      10.817
20150907       8.161      14.327      14.094       8.799
20150908       8.141      13.134      13.563       8.021
20150909       7.312      12.759      14.033       7.858
20150910       6.706      12.088      13.116       7.116
20150911       6.267      11.612      11.824       6.661
20150912       5.980      11.329      11.567       6.157
20150913       6.208      11.491      11.256       5.990
20150914       7.726      11.347      11.052       6.239
20150915      11.183      11.198      10.693       7.602
20150916      14.582      12.867      12.155      11.602
20150917      11.315      11.285      11.847      14.458
20150918      11.294      12.371      11.925      11.687
20150919      12.986      14.374      12.706      11.945
20150920      12.012      19.378      12.885      12.925
20150921       9.145      14.443      14.355      12.017
20150922       7.956      13.263      14.655       8.910
20150923       7.046      12.316      13.277       7.562
20150924       6.548      11.799      12.431       6.710
20150925       9.052      13.260      12.534       6.764
20150926       8.401      13.356      12.718       9.244
20150927       7.435      12.077      11.975       8.326
20150928       6.424      10.971      11.794       7.087
20150929       5.557      10.383      11.036       6.042
20150930       5.342       9.275      10.518       5.716
20151001       6.258       9.823      10.788       5.663
20151002       8.346       9.404      10.344       5.877
20151003       8.303      10.016       9.884       8.688
20151004       7.357       9.948       9.791       8.573
20151005       6.181       9.206       9.025       7.370
20151006       5.188       8.794       8.439       5.984
20151007       4.542       8.318       8.768       5.183
20151008       4.299       7.891       8.321       4.618
20151009       4.253       7.604       7.909       4.219
20151010       4.208       7.256       7.548       4.120
20151011       4.026       6.843       7.213       4.114
20151012       3.894       6.491       6.846       3.910
20151013       3.722       6.168       6.489       3.690
20151014       3.533       5.867       6.167       3.706
20151015       3.253       5.582       5.867       3.474
20151016       3.193       5.299       5.582       2.978
20151017       2.943       5.057       5.304       3.079
20151018       2.875       4.827       5.063       2.724
20151019       2.734       4.583       4.827       2.764
20151020       2.567       4.391       4.583       2.540
20151021       2.625       4.209       4.427       2.391
20151022       3.312       6.056       5.676       3.389
20151023       4.129      13.107       6.562       4.571
20151024       3.590       8.781       9.558       4.811
20151025       3.617      10.323       9.089       3.386
20151026       3.372       8.969       9.079       4.013
20151027       3.347       7.918       8.834       3.024
20151028       2.883       7.208       7.899       3.019
20151029       2.632       6.623       7.195       2.550
20151030       2.754       6.003       6.771       2.388
20151031       3.386       6.484       6.733       2.904
20151101       4.476       8.265       7.379       3.569
20151102       4.323       7.354   -9999.000   -9999.000
20151103       4.418       6.819       6.686       4.164
20151104       4.481       7.843       7.414       4.828
20151105       4.384       7.156       7.414       4.559
20151106       4.149       6.380       7.191       4.277
20151107       4.654       6.494       6.792       4.348
20151108       4.376       8.246       6.345       4.031
20151109       3.856       9.019       6.442       4.634
20151110       4.015       8.461       8.874       4.139
20151111       3.832       8.502       8.857       4.454
20151112       3.687       8.253       8.774       3.963
20151113       3.313       7.157       7.726       3.699
20151114       2.958       6.461       7.157       3.125
20151115       3.280       9.792       7.848       3.354
20151116       3.324       6.650       8.155       2.980
20151117       2.847       6.401       7.026       3.016
20151118       3.046       6.181       6.409       2.630
20151119       3.190       5.300       5.853       2.749
20151120       3.459       4.925       5.483       3.026
20151121       3.718       4.722       5.171       3.445
20151122       4.652       4.550       4.747       3.557
20151123       6.196       4.351       4.650       4.294
20151124       3.796       4.079       4.357       6.376
20151125       2.897       3.870       4.154       3.809
20151126       2.791       4.331       4.175       2.914
20151127       7.588       6.561       5.209       3.732
20151128       7.718       5.006       6.678       7.561
20151129       4.182       4.020       5.839       8.210
20151130       3.847       4.020       4.233       3.812
20151201       3.650       8.815       4.791       4.347
20151202       3.553       7.433       6.461       3.901
20151203       3.443       6.147       6.623       3.157
20151204       3.336       5.384       5.665       2.925
20151205       3.123       4.973       5.618       3.196
20151206       2.797       8.604       6.504       3.940
20151207       2.663       8.941       7.501       3.032
20151208       2.963       5.462       6.497       2.158
20151209       3.193       4.516       5.377       2.395
20151210       3.297       7.033       4.759       2.764
20151211       3.125       7.741       6.794       3.873
20151212       3.142       5.608       7.232       2.987
20151213       3.517       4.408       5.342       2.620
20151214       4.312       4.428       4.144       2.787
20151215       6.118       3.574       3.601       3.600
20151216       7.362       2.780       3.302       4.938
20151217       7.815       3.223       2.895       5.645
20151218       5.396       3.676       3.272       7.646
20151219       4.339       4.510       4.515       6.347
20151220       4.601       5.285       4.590       4.719
20151221       4.586       5.640   -9999.000   -9999.000
20151222       4.281       4.730   -9999.000   -9999.000
20151223       3.919       4.814       5.279       5.021
20151224       3.445       5.998       5.687       5.103
20151225       2.815       8.183       5.733       3.806
20151226       2.695       8.840       8.519       3.498
20151227       3.142       5.987       7.377       2.304
20151228       5.926       5.099       5.971       2.532
20151229       8.310       4.540       5.076       4.414
20151230       4.142       4.146       4.540       8.314
20151231       2.818       5.985       4.315       4.015
20160101       2.738       4.679       5.303       3.107
20160102       2.735       4.325       4.869       2.602
20160103       5.633       4.059       4.374       2.430
20160104      19.130       3.838       4.139       4.261
20160105      30.184       3.648       3.843      15.896
20160106      37.053       3.499       3.646       3.648
20160107      35.127       3.304       3.468       3.467
20160108      23.180       3.148       3.309       3.303
20160109      16.252       2.991       3.143       3.147
20160110  -10000.000       2.861       3.010       3.008
20160111  -10000.000       2.835       2.898       2.898
20160112  -10000.000       2.773       2.876       2.867
20160113  -10000.000       2.808       2.796       2.792
20160114  -10000.000       2.492       2.687       2.682
20160115  -10000.000       2.855       2.621       2.621
20160116  -10000.000       3.350       2.624       2.620
20160117  -10000.000       2.502       2.665       2.661
20160118  -10000.000       4.987       3.258       3.257
20160119  -10000.000       3.617       3.413       3.391
20160120  -10000.000       3.225       3.355       3.346
20160121  -10000.000       2.890       3.025       3.015
20160122  -10000.000       2.149       2.604       2.597
20160123  -10000.000       2.040       2.159       2.164
20160124       1.350       1.841       2.035       2.031
20160125       1.408       2.240       1.862       1.858
20160126       2.015       2.533       2.337       2.324
20160127       1.894       2.362       2.662       2.652
20160128       1.703       2.407       2.592       2.581
20160129       1.609       2.313       2.634       2.625
20160130       1.410       7.269       3.814       3.808
20160131       1.550       4.494       4.379       4.329
20160201       1.607       3.673       4.352       4.335
20160202       1.720       3.554       4.054       4.044
20160203       1.788       3.423       3.383       3.366
20160204       1.875       6.720       3.899       3.886
20160205       1.966       4.280       4.185       4.148
20160206       2.028       3.231       3.760       3.746
20160207       2.049       2.854       3.408       3.398
20160208       1.990       2.320       3.082       3.075
20160209       1.883       1.705       2.253       2.249
20160210       1.889       2.593       1.954       1.952
20160211       1.939       1.685       1.743       1.738
20160212       1.897       1.335       1.769       1.766
20160213       1.757       1.186       1.509       1.510
20160214       1.814       1.039       1.221       1.219
20160215       1.799       1.503       1.146       1.150
20160216       1.814       1.539       1.337       1.327
20160217       1.383       1.100       1.365       1.354
20160218       1.154       0.931       1.336       1.336
20160219       1.263       0.830       0.985       0.989
20160220       1.346       0.892       0.897       0.897
20160221       1.406       0.796       1.132       1.128
20160222       1.324       0.966       1.306       1.297
20160223       1.338       1.273       1.162       1.158
20160224       1.425       3.352       1.769       1.766
20160225       1.458       2.613       2.221       2.189
