date          Qobs       Qsimobs        Qsim       Qusi
20150801      50.406      56.461      56.120      59.358
20150802      42.248      46.370      52.117      45.072
20150803      37.029      40.635      45.579      38.119
20150804      33.565      36.461      40.352      33.276
20150805      33.637      32.982      36.277      31.222
20150806      32.540      33.756      36.616      33.538
20150807      29.263      28.460      31.163      28.929
20150808      27.160      33.213      33.176      32.177
20150809      24.941      27.279      29.671      27.297
20150810      22.667      24.752      26.600      23.099
20150811      20.895      21.148      23.708      19.803
20150812      23.832      29.436      27.472      25.239
20150813      30.994      28.363      29.787      27.029
20150814      23.820      21.626      23.885      25.803
20150815      18.971      18.650      20.962      21.206
20150816      17.385      16.633      18.651      16.880
20150817      14.543      14.735      16.624      16.341
20150818      12.622      12.861      14.750      13.332
20150819      11.176      11.409      12.867      11.039
20150820      10.057      10.070      11.396      10.021
20150821       8.989       8.875      10.070       8.884
20150822       8.211       7.821       8.875       7.876
20150823       7.451       6.873       7.815       7.392
20150824       6.775       5.921       6.870       6.730
20150825       6.339       5.191       5.930       5.948
20150826       6.147       4.630       5.194       5.576
20150827       6.175       9.714       6.305       7.316
20150828      19.948      37.700      15.165      13.619
20150829      38.960      48.733      40.689      31.188
20150830      30.749      34.077      35.020      39.115
20150831      23.506      26.575      32.274      30.916
20150901      17.666      23.269      26.459      20.996
20150902      13.130      20.096      22.319      15.628
20150903      10.228      17.955      20.064      12.078
20150904       8.443      15.586      17.947       9.258
20150905       7.443      14.182      17.107       9.219
20150906       6.691      12.644      14.031       7.325
20150907       6.966      11.863      13.171       6.875
20150908       8.633      10.224      11.663       6.764
20150909       7.217       9.598      10.599       8.372
20150910       6.507       8.301       9.501       6.207
20150911       5.429       7.338       7.812       5.823
20150912       4.768       6.480       7.338       4.798
20150913       4.326       5.715       6.487       4.557
20150914       3.951       5.032       5.718       3.806
20150915       3.567       4.449       5.041       3.504
20150916       3.330       4.091       4.554       3.513
20150917       3.066       4.032       4.031       2.928
20150918       6.305      14.148      11.919       9.155
20150919      40.758      22.426      21.945      14.774
20150920      44.025      23.181      24.797      48.034
20150921      30.852      16.001      21.035      42.967
20150922      18.618      12.471      15.140      24.392
20150923      13.164      14.963      13.399      15.566
20150924      10.590      11.258      12.200      11.499
20150925      12.780      11.996      11.167       9.308
20150926      23.149      18.143      17.017      14.090
20150927      31.802      14.799      16.878      23.944
20150928      21.018      12.583      13.095      24.035
20150929      14.311      10.640      11.722      19.334
20150930      21.292      14.294      17.379      19.533
20151001      88.332      27.214      19.400      26.233
20151002     200.201     170.744      78.972     159.173
20151003     115.361     106.984      98.688     223.188
20151004      78.534      85.272      93.217     104.544
20151005      56.915      70.904      79.274      70.437
20151006      45.614      61.864      68.871      51.499
20151007      39.477      54.500      61.802      42.111
20151008      35.608      49.069      54.923      36.422
20151009      32.268      44.139      49.441      33.796
20151010      29.754      39.697      44.169      32.181
20151011      27.140      35.737      39.698      27.852
20151012      24.659      32.111      35.714      24.652
20151013      22.443      28.848      32.104      22.566
20151014      22.799      32.569      30.511      22.100
20151015      21.734      27.637      28.302      20.926
20151016      36.411      35.692      30.115      24.631
20151017      39.547      32.065      31.154      31.797
20151018      34.778      27.209      28.740      35.508
20151019      28.735      23.826      26.366      30.662
20151020      23.097      21.505      23.799      26.285
20151021      21.102      19.179      21.906      20.594
20151022      46.024      29.785      25.845      25.519
20151023      51.075      37.179      28.866      44.865
20151024      37.414      26.208      29.027      45.918
20151025      37.725      31.570      29.425      34.473
20151026      43.549      30.701      30.802      37.547
20151027      69.670      49.880      33.948      43.217
20151028      39.071      32.188      35.651      68.087
20151029      29.801      27.996      32.289      33.244
20151030      22.713      24.735      28.043      27.927
20151031      20.765      25.391      25.506      22.096
20151101      51.669      44.765      33.738      27.162
20151102     154.172     100.931   -9999.000   -9999.000
20151103     105.814      86.101      94.468     179.856
20151104      86.791      73.387      78.398     110.274
20151105      57.592      59.645      70.814      82.053
20151106      43.345      51.859      62.238      56.448
20151107      40.270      46.097      51.796      42.127
20151108      43.064      59.212      51.617      41.776
20151109      41.337      53.477      53.423      47.722
20151110      38.269      49.529      51.883      41.317
20151111      43.192      53.493      52.554      38.390
20151112      43.127      48.333      48.741      43.668
20151113      40.815      46.481      46.176      40.846
20151114      35.311      49.282      48.616      40.225
20151115      28.672      38.378      43.776      32.651
20151116      24.092      33.937      38.414      27.819
20151117      22.070      34.843      37.402      25.474
20151118      19.888      29.635      32.399      21.470
20151119      17.568      25.182      28.543      19.184
20151120      15.934      22.683      25.216      16.098
20151121      14.298      20.111      22.482      15.598
20151122      12.845      17.663      20.003      13.672
20151123      12.061      16.294      18.894      13.640
20151124      11.136      13.993      16.825      11.826
20151125      10.642      12.663      14.167      11.040
20151126      10.703      19.270      16.814      12.585
20151127      26.337      42.295      36.278      23.588
20151128      51.421      55.915      34.006      28.370
20151129      35.920      37.285      41.312      52.936
20151130      29.084      41.277      40.695      35.807
20151201      24.129      37.145      40.039      30.325
20151202      20.881      32.029      34.831      23.488
20151203      19.760      31.787      36.613      24.347
20151204      17.809      26.538      29.733      18.906
20151205      16.095      22.427      26.249      17.895
20151206      16.370      29.641      30.194      20.096
20151207      20.988      50.516      29.607      19.724
20151208      19.585      41.215      37.185      24.681
20151209      25.122      36.462      41.763      21.579
20151210      25.717      36.646      38.151      23.704
20151211      21.378      35.600      33.005      27.095
20151212      19.146      40.327      36.429      23.621
20151213      16.927      29.906      33.153      19.846
20151214      14.536      27.242      31.316      16.727
20151215      14.004      26.676      28.767      16.216
20151216      14.063      30.086      28.982      15.768
20151217      13.742      23.848      25.056      13.620
20151218      18.503      28.809      30.855      18.023
20151219      40.288      37.758      37.635      21.247
20151220      63.839      42.073      53.964      61.218
20151221      78.701      41.216   -9999.000   -9999.000
20151222      75.482      48.445   -9999.000   -9999.000
20151223      58.900      49.888      42.495      72.733
20151224      43.960      40.632      43.881      58.382
20151225      42.797      57.991      42.453      43.802
20151226      34.840      51.451      50.991      46.807
20151227      28.288      46.380      48.341      31.085
20151228      23.872      35.742      41.349      26.191
20151229      22.197      31.330      35.707      22.983
20151230      22.020      27.633      31.277      20.910
20151231      21.824      26.293      27.663      20.201
20160101      18.085      23.290      25.271      20.701
20160102      16.103      21.664      23.147      16.664
20160103      14.247      19.029      21.365      15.902
20160104      11.892      17.139      19.112      14.034
20160105       9.671      15.824      17.855      13.066
20160106      10.901      13.949      15.579       8.970
20160107      12.558      12.528      13.951      10.625
20160108      15.046      11.145      12.613      11.419
20160109      21.442       9.936      11.187      13.043
20160110      31.723       8.793       9.990      17.209
20160111      36.228      12.369      11.924      33.523
20160112      44.709       8.253      10.181      10.335
20160113      49.160       6.928       8.301       8.314
20160114      51.006       5.986       6.796       6.810
20160115      57.750       5.315       5.987       5.986
20160116      61.132       7.894       6.711       6.733
20160117      61.319       4.983       5.844       5.949
20160118      61.642      16.409       8.791       8.814
20160119      61.896      10.089       8.272       8.699
20160120      61.922       6.336       7.363       7.524
20160121      61.811       4.714       5.666       5.750
20160122      61.688       4.469       4.864       4.872
20160123      61.621       3.426       3.839       3.897
20160124      69.001       6.594       4.476       4.479
20160125      69.001       3.846       3.801       3.944
20160126      69.001       5.293       5.180       5.235
20160127      65.253       3.690       5.221       5.347
20160128      54.871       4.191       4.933       4.961
20160129      53.151       6.257       4.793       4.906
20160130      52.903      15.590      10.031      10.196
20160131      53.280       8.414       8.922       9.934
20160201      51.009       6.802       8.989       9.289
20160202      49.260       4.860       6.112       6.201
20160203      48.313       5.817       4.461       4.523
20160204      50.553       9.581       7.266       7.358
20160205      51.182      16.178      10.567      10.817
20160206      50.455       5.418       8.385       8.861
20160207      48.335      10.304       9.442       9.360
20160208      48.593       7.081       5.832       6.036
20160209      46.326       7.782       5.333       5.631
20160210      41.584       5.223       6.416       6.575
20160211      37.425       4.562       5.566       5.564
20160212      34.189       3.738       4.630       4.658
20160213      30.330       5.448       4.350       4.365
20160214      32.097       5.007       4.945       5.059
20160215      27.161       3.213       3.748       3.825
20160216      25.490       3.528       3.939       3.923
20160217      28.363       6.715       3.336       3.375
20160218      24.426       3.407       3.816       3.977
20160219      22.376       2.156       3.190       3.207
20160220      22.181       1.739       2.171       2.191
20160221      24.532       2.501       4.225       4.241
20160222      30.190       2.939       2.465       2.474
20160223      24.426       1.657       1.835       1.894
20160224      22.492       3.613       2.820       2.810
20160225      20.485       5.478       3.952       4.045
20160226      19.922       3.269       4.767       4.907
20160227      15.900       2.353       2.698       2.736
20160228      19.484       6.762       4.595       4.628
20160229      19.349       2.748       3.814       4.041
20160301      18.655       1.396       2.129       2.162
20160302      14.272       0.805       1.583       1.612
20160303      16.174       0.597       1.153       1.151
20160304      15.700       1.018       1.156       1.170
20160305      13.660       0.850       1.878       1.890
20160306      12.875       0.602       0.960       0.988
20160307      12.088       1.604       1.109       1.120
20160308      11.206       2.792       2.122       2.146
20160309      11.382       0.823       1.256       1.339
20160310      10.413       0.463       0.750       0.764
20160311      12.189       0.707       0.872       0.909
20160312      13.971       0.317       0.540       0.480
20160313      11.106       0.543       0.453       0.469
20160314      19.249       4.256       5.703       5.716
20160315      54.163       9.709       5.171      26.599
20160316      96.938      13.616       7.288      57.662
20160317     124.325      23.287      12.098     100.733
20160318     129.112      25.927      20.501     121.982
20160319      96.681      19.572      21.170      95.851
20160320      79.773      17.972      19.542      72.391
20160321      70.004      18.522      19.208      70.036
20160322      61.535      18.014      17.164      53.276
20160323   -9999.000   -9999.000      16.252      45.957
20160324      44.351      10.664   -9999.000   -9999.000
20160325      38.463      11.015   -9999.000   -9999.000
20160326      34.295      11.515   -9999.000   -9999.000
20160327      33.400      12.878       9.632      26.626
20160328      45.430      25.003      13.642      37.025
20160329      48.542      34.713      23.140      58.090
20160330      50.956      37.677      32.224      57.703
20160331      38.325      30.715      33.576      48.594
20160401      28.409      28.110      30.997      34.231
20160402      20.490      27.804      29.593      28.456
20160403      20.963      32.901      31.841      23.503
20160404      27.270      38.495      31.250      21.710
20160405      30.225      39.210      37.578      30.347
20160406      29.528      54.785      43.143      37.614
20160407      32.194      64.182      49.725      35.864
20160408      25.730      52.837      55.338      36.517
20160409      19.641      49.159      51.865      28.907
20160410      17.559      43.757      47.521      21.409
20160411      17.516      38.899      42.731      18.890
20160412      16.373      39.018      39.590      18.856
20160413      14.004      36.150      37.878      18.383
20160414      11.891      31.648      35.242      14.432
20160415      11.230      30.831      33.208      13.261
20160416      11.164      36.478      32.669      13.091
20160417      11.722      34.420      32.028      12.998
20160418      12.328      32.809      33.483      14.038
20160419      13.790      36.225      34.392      15.011
20160420      15.357      34.412      33.786      15.143
20160421      17.106      44.071      39.320      19.954
20160422      19.586      51.276      44.856      22.682
20160423      15.740      42.135      46.306      22.178
20160424      13.221      35.215      39.965      15.581
20160425      11.703      31.505      35.261      14.087
20160426      10.793      30.860      33.262      13.076
20160427      10.332      26.138      30.188      11.741
20160428      10.553      30.629      29.746      12.725
20160429      22.587      49.970      35.346      16.499
20160430      40.651      50.046      41.340      21.086
20160501      46.785      58.777      47.990      43.081
20160502      47.092      59.128      55.921      51.277
20160503      59.382      68.830      59.374      49.387
20160504      75.750      81.389      68.362      63.323
20160505      73.932      81.299      76.356      81.477
20160506      71.345      87.938      82.478      79.536
