date          Qobs       Qsimobs        Qsim       Qusi
20150801      10.203      13.820     255.977      46.102
20150802       9.657      13.091      14.618      10.555
20150803       9.282      13.248      14.551      10.666
20150804       8.807      11.720      13.143       9.089
20150805      14.589      21.555      13.279       9.149
20150806      15.666      16.049      16.778      13.659
20150807      13.096      14.717      15.760      15.019
20150808      16.392      18.915      15.231      13.312
20150809      14.460      15.427      16.815      16.209
20150810      12.882      13.948      15.395      13.845
20150811      11.917      13.057      14.393      12.558
20150812      11.295      12.373      13.491      11.564
20150813      10.455      12.290      12.580      11.168
20150814       9.701      11.269      11.896      10.185
20150815       8.965      10.605      11.266       9.260
20150816       8.263       9.987      10.605       8.447
20150817       7.766       9.430       9.987       7.764
20150818       7.346       8.878       9.423       7.317
20150819       7.051       8.405       8.876       6.964
20150820       6.653       8.033       8.414       6.631
20150821       6.289       7.714       8.028       6.428
20150822       5.931       7.460       7.714       6.021
20150823       5.516       7.208       7.460       5.828
20150824       5.218       7.002       7.208       5.441
20150825       5.057       6.863       6.999       5.152
20150826       5.559       8.673       7.253       5.473
20150827       7.188       8.362       7.384       5.180
20150828      12.851      12.971       9.114       7.498
20150829      10.744       9.112       9.976      11.818
20150830       8.706       8.413       9.114      10.328
20150831       7.574       7.387       8.409       8.143
20150901       6.892       7.064       7.927       7.271
20150902       6.707       6.846       7.409       6.628
20150903       9.727      12.463       7.960       7.392
20150904       9.152       8.723       9.232       9.175
20150905      11.877      13.249      10.835      10.692
20150906      11.020      10.781      11.198      11.976
20150907       9.714      29.523      10.471      10.487
20150908       8.954      27.517       9.837       9.328
20150909       8.197       8.521       9.116       8.543
20150910       7.505       7.997      25.740       8.514
20150911       7.099       7.458      23.976       7.899
20150912       6.958       7.074       7.458       6.745
20150913       7.121       7.617       7.170       6.789
20150914       7.074       7.236       7.336       7.042
20150915       7.001       6.953       6.779       6.709
20150916       7.842       9.293       7.983       7.849
20150917       8.533       7.992       8.598       8.165
20150918      12.410      17.432      10.923      10.920
20150919      11.037      11.763      12.665      12.994
20150920       9.869      10.923      11.717      10.472
20150921      10.208      11.266      11.083       9.543
20150922      10.037      11.280      11.635      10.561
20150923      12.851      15.520      12.752      11.131
20150924      11.719      12.346      12.852      12.852
20150925      11.691      14.327      13.537      12.172
20150926      11.188      12.880      13.137      11.381
20150927      10.034      11.810      12.566      10.705
20150928       9.323      11.827      11.788       9.472
20150929       8.879      11.108      11.056       8.868
20150930       8.631       6.587      10.387       8.247
20151001       8.137       6.439      10.445       8.194
20151002       7.775       6.275       9.890       7.957
20151003       7.562       6.494       6.341       7.614
20151004       7.358       8.309       6.262       7.218
20151005       7.098       7.872       6.143       7.156
20151006       6.878       7.520       6.009       6.960
