date          Qobs       Qsimobs        Qsim       Qusi
20150801      15.602      12.157      15.670      16.976
20150802      15.034      17.544      12.574      11.991
20150803      13.166      11.213      14.306      13.379
20150804      12.405       9.583      11.130      10.979
20150805      23.143      29.486      19.158      19.576
20150806      16.527      15.142      23.283      23.020
20150807      14.035      12.685      14.859      13.138
20150808      14.859      10.663      15.217      14.434
20150809      11.796       9.231      10.939      13.186
20150810      10.637       8.108       9.206      10.445
20150811       9.944       7.398       8.106       9.495
20150812       9.361       7.773       7.374       8.869
20150813       8.119       6.470       7.152       8.366
20150814       7.216       6.069       6.458       7.280
20150815       6.391       5.722       6.064       6.745
20150816       5.774       5.363       5.704       5.950
20150817       5.318       5.085       5.356       5.382
20150818       4.806       4.778       5.033       5.111
20150819       4.421       4.469       4.729       4.634
20150820       4.043       4.188       4.477       4.291
20150821       3.701       3.941       4.188       3.906
20150822       3.380       3.704       3.932       3.462
20150823       3.077       3.476       3.694       3.254
20150824       2.910       3.266       3.468       2.968
20150825      16.969      10.597       5.908       4.973
20150826      31.761      56.205      14.627      10.293
20150827      53.783      71.282      39.588      42.212
20150828      37.760      41.983      46.960      46.142
20150829      25.256      27.571      36.072      30.527
20150830      21.101      22.724      27.906      23.776
20150831      17.141      17.719      22.246      17.933
20150901      14.716      14.027      17.959      14.621
20150902     284.242      96.431      24.675      22.037
20150903     199.707     189.261      91.414     137.270
20150904      76.946      56.014     110.765     130.621
20150905      53.754      44.790      59.929      53.612
20150906      41.997      36.880      45.497      40.669
20150907      31.532      27.991      35.589      35.037
20150908      25.452      22.747      28.173      25.735
20150909      21.593      18.450      22.889      21.546
20150910      18.880      14.928      18.486      17.510
20150911      16.804      12.155      14.906      15.619
20150912      15.790      10.266      12.218      14.107
20150913      26.556      28.699      12.820      15.961
20150914      35.108      22.889      22.061      22.425
20150915     142.444      39.788      30.366      35.575
20150916      91.393     122.784      45.024      68.486
20150917     115.542      66.883      94.372      95.595
20150918      85.111      76.980      75.045      78.417
20150919      50.347      40.360      55.669      65.386
20150920      37.456      32.830      40.620      40.809
20150921      30.580      26.580      32.890      30.587
20150922      27.118      21.990      26.825      27.728
20150923      27.263      30.241      25.107      26.279
20150924      25.082      19.898      25.945      25.212
20150925      36.562      40.624      24.110      24.361
20150926      26.631      23.615      31.173      33.751
20150927      22.511      19.056      23.467      22.388
20150928      20.093      15.704      19.055      18.794
20150929      18.374      13.105      15.704      16.821
20150930      16.798       7.535      13.103      15.101
20151001      15.452       7.091      11.077      14.410
20151002      14.219       6.664       9.642      13.440
20151003      13.064       6.286       6.663      13.256
20151004      12.224       7.568       6.275      11.796
20151005      11.449       7.119       5.900      11.344
20151006      10.884       7.086       5.584      10.730
20151007      10.255       6.576       6.831       9.356
20151008       9.600       6.191       6.477       9.699
20151009       8.647       6.045       6.206       8.952
20151010       7.479       7.459       5.953       7.816
20151011       6.518       5.977       6.083       6.866
20151012       5.916       5.693       5.941       6.330
20151013       5.548       5.487       5.677       5.822
20151014       5.138       5.152       5.385       5.216
20151015       4.831       4.849       5.137       5.032
20151016       4.608       4.565       4.880       4.557
20151017       4.420       4.297       4.662       4.356
20151018       4.321       4.050       4.445       4.245
20151019       4.238       3.833       4.186       4.018
20151020       4.201       3.623       3.895       4.074
20151021       4.300       3.478       3.845       4.319
20151022       4.644       5.981       3.762       4.101
20151023       4.667       4.868       4.691       4.446
20151024       4.254       4.245       4.624       4.444
20151025       4.383       4.244       4.368       4.132
20151026       4.115       3.817       3.910       3.899
20151027       4.021       3.603       3.809       3.938
20151028       3.948       3.419       3.591       4.136
20151029       3.948       3.297       3.394       3.844
20151030       3.957       3.121       3.249       3.822
20151031       4.308       5.429       3.329       3.999
20151101       4.522       3.911       3.940       3.714
20151102       4.283       3.550   -9999.000   -9999.000
20151103       4.077       3.418       3.501       3.975
20151104       3.944       3.248       3.348       3.824
20151105       3.712       3.073       3.236       3.952
20151106       3.712       3.254       3.099       3.375
20151107       7.083       8.789       5.951       5.745
20151108       9.503      19.691       6.159       4.430
20151109      14.460      14.931      12.443      11.558
20151110      11.593      11.016      13.983      13.860
20151111      10.096       8.232      10.379       9.216
20151112       9.497       6.430       8.148       7.666
20151113       9.768       6.681       6.718       7.755
20151114       9.411       5.363       6.950       7.657
20151115       8.708       4.871       5.252       8.069
20151116       7.984       5.031       4.855       7.772
20151117       8.062       7.631       6.274       9.467
20151118       7.677       4.668       5.388       5.482
20151119       7.487       4.038       4.607       6.154
20151120       5.904       3.692       4.021       6.600
20151121       5.756       3.450       3.698       4.958
20151122       5.144       3.235       3.439       4.737
20151123       5.361       3.072       3.339       5.335
20151124       6.210       3.013       3.330       4.702
20151125       6.240       2.758       2.919       5.601
20151126       5.392       2.548       4.050       8.029
20151127       6.393       2.392       6.143       9.838
20151128       7.915       5.980       3.468       7.291
20151129       6.714       4.647       5.254       9.576
20151130       5.523       3.199       3.972       4.713
20151201       5.116       2.815       3.161       4.407
20151202       5.337       2.848       3.359       6.104
20151203       4.811       2.804       2.879       4.926
