date          Qobs       Qsimobs        Qsim       Qusi
20150801      26.182      27.615      29.011      25.517
20150802      26.618      32.324      29.344      26.300
20150803      28.133      30.865      29.990      27.410
20150804      28.540      29.625      29.951      27.426
20150805      27.839      28.404      29.349      27.520
20150806      26.797      26.697      28.127      26.916
20150807      26.313      26.965      28.205      26.941
20150808      27.174      26.878      27.323      26.793
20150809      34.340      46.589      29.385      29.230
20150810      35.095      37.568      37.757      40.147
20150811      32.799      35.040      37.230      34.151
20150812      32.629      42.035      37.328      33.178
20150813      34.873      40.723      38.653      33.942
20150814      34.797      40.670      39.763      35.773
20150815      27.091      37.727      39.170      34.227
20150816      31.265      35.398      37.399      22.033
20150817      29.584      33.424      35.356      29.752
20150818      27.897      31.588      33.369      28.110
20150819      26.210      29.995      31.552      26.672
20150820      24.724      28.390      29.768      25.027
20150821      23.375      26.941      28.201      23.702
20150822      22.074      25.605      26.912      22.436
20150823      20.929      24.292      25.556      21.206
20150824      20.011      22.934      24.291      20.184
20150825      19.094      21.797      23.090      19.334
20150826      18.287      21.086      21.981      18.465
20150827      17.547      20.392      21.086      17.785
20150828      16.906      20.051      20.429      17.081
20150829      16.616      20.235      20.063      16.613
20150830      16.736      19.730      19.901      16.602
20150831      16.787      19.105      19.444      16.367
20150901      16.725      18.888      19.894      17.203
20150902      16.578      18.242      19.214      16.903
20150903      16.307      17.716      18.329      16.361
20150904      16.082      17.203      17.718      15.972
20150905      15.945      17.127      17.341      15.880
20150906      16.629      22.243      17.556      16.249
20150907      18.391      19.607      19.815      17.904
20150908      19.063      18.147      19.266      17.310
20150909      18.986      18.022      18.520      18.288
20150910      18.656      16.826      17.821      18.305
20150911      18.100      16.439      16.734      18.054
20150912      17.532      16.140      16.439      17.770
20150913      17.002      16.099      16.140      17.187
20150914      16.461      15.854      15.852      16.805
20150915      16.091      15.588      15.569      16.253
20150916      15.600      15.507      15.556      15.783
20150917      15.498      15.520      15.340      15.411
20150918      15.754      15.207      15.239      15.264
20150919      25.826      55.633      20.108      20.066
20150920      36.500      46.815      39.050      37.203
20150921      40.110      43.521      43.238      37.005
20150922      40.741      40.620      42.698      39.020
20150923      40.173      39.380      41.395      39.481
20150924      39.090      39.880      41.233      40.745
20150925      38.102      36.803      38.772      38.555
20150926      37.877      39.963      37.780      37.224
20150927      38.996      44.080      38.484      38.472
20150928      39.088      39.513      40.655      40.032
20150929      38.318      37.123      39.360      37.438
20150930      38.108      41.072      37.800      37.063
20151001      37.205      37.483      38.401      38.508
20151002      35.394      35.499      36.094      35.786
20151003      33.742      34.815      35.807      34.285
20151004      32.067      31.317      34.150      32.993
20151005      30.537      30.585      32.799      30.931
20151006      28.634      29.017      31.523      29.609
20151007      26.822      27.391      28.864      27.608
20151008      26.785      25.930      27.408      25.443
20151009      26.229      24.686      25.949      25.651
20151010      26.073      23.563      24.666      25.000
20151011      25.461      22.515      23.622      24.937
20151012      23.894      25.905      23.502      25.257
20151013      20.467      22.609      22.025      24.313
20151014      19.985      23.483      22.414      20.589
20151015      19.772      23.794      30.169      22.030
20151016      19.923      22.808      22.105      20.054
20151017      19.971      22.820      23.358      20.070
20151018      20.295      23.658      22.729      20.177
20151019      20.988      66.975      22.890      20.290
20151020      21.187      20.325      22.484      20.258
20151021      21.255      19.973      21.784      20.495
20151022      21.304      20.755      57.480      21.282
20151023      21.385      19.638      19.656      21.099
20151024      20.828      18.926      19.639      20.677
20151025      20.475      18.828      19.041      20.407
20151026      21.915      21.087      18.882      20.203
20151027      21.946      20.102      19.523      22.114
20151028      22.904      19.192      19.271      21.307
20151029      24.865      18.461      19.386      21.797
20151030      25.466      17.979      18.463      23.467
20151031      26.672      17.468      17.911      24.776
20151101      29.570      18.624      20.668      27.019
20151102      28.750      24.278   -9999.000   -9999.000
20151103      27.926      23.403      24.561      34.306
20151104      29.196      22.622      23.517      26.868
20151105      29.570      21.609      22.330      27.522
20151106      30.240      21.017      21.511      27.943
20151107      32.335      20.844      21.060      29.362
20151108      34.691      19.904      20.711      30.406
20151109      35.688      19.136      20.195      32.933
20151110      36.396      19.541      19.498      34.680
20151111      37.214      19.856      19.482      36.269
20151112      38.477      20.089      19.287      37.165
20151113      40.095      20.905      19.612      38.675
20151114      42.316      20.502      20.595      40.474
20151115      43.927      21.320      20.732      42.049
20151116      45.137      20.293      20.721      43.896
20151117      46.508      19.900      20.318      43.566
20151118      47.735      19.555      20.216      46.055
20151119      49.209      19.465      19.720      46.732
20151120      50.367      18.918      19.294      48.165
20151121      49.956      18.464      18.882      18.891
20151122      51.534      17.969      18.424      18.444
20151123      55.235      17.630      17.975      17.965
20151124      58.782      17.199      17.532      17.537
20151125      62.177      16.942      17.304      17.314
20151126      63.141      16.584      16.928      16.954
20151127      63.038      16.567      16.721      16.725
20151128      62.490      16.173      16.560      16.628
20151129      61.267      15.901      16.279      16.281
20151130      60.177      15.561      16.015      16.048
20151201      59.536      16.806      16.130      16.147
20151202      58.134      16.361      16.235      16.484
20151203      56.880      15.987      16.434      16.496
20151204      56.086      15.547      15.920      15.962
20151205      55.473      15.179      15.554      15.555
20151206      55.330      18.518      15.878      15.878
20151207      54.503      17.601      16.993      17.533
20151208      53.729      17.163      17.439      17.569
20151209      53.492      17.169      17.267      17.311
20151210      53.318      18.649      17.465      17.570
20151211      52.919      17.441      17.771      18.103
20151212      52.454      16.972      17.498      17.500
20151213      51.679      16.461      17.073      17.090
20151214      50.466      16.246      16.502      16.533
20151215      48.894      16.073      16.347      16.399
20151216      47.880      18.946      16.846      16.909
20151217      47.031      17.965      16.871      17.188
20151218      46.119      17.363      16.690      16.744
20151219      45.326      17.866      17.836      17.866
20151220      45.008      17.408      17.781      18.058
20151221      44.509      17.036   -9999.000   -9999.000
20151222      44.125      16.327   -9999.000   -9999.000
20151223      43.991      15.774      16.358      16.376
20151224      43.141      15.324      15.998      16.005
20151225      42.015      15.138      15.333      15.346
20151226      41.198      16.882      15.897      15.963
20151227      39.715      17.130      16.570      16.908
20151228      38.202      16.468      16.510      16.757
20151229      36.625      15.681      16.264      16.320
20151230      35.057      15.114      15.699      15.705
20151231      33.893      14.684      15.126      15.141
20160101      33.227      14.209      14.684      14.703
20160102      32.785      13.700      14.236      14.254
20160103      31.708      13.233      13.708      13.709
20160104      30.358      12.944      13.278      13.276
20160105      29.464      12.634      12.884      12.901
20160106      29.134      12.680      12.656      12.675
20160107      28.802      12.278      12.461      12.540
20160108      27.558      12.245      12.205      12.197
20160109      26.851      12.504      12.076      12.135
20160110      26.852      12.021      12.261      12.373
20160111      26.481      11.795      11.993      12.001
20160112      26.319      11.590      11.652      11.657
20160113      26.409      11.101      11.432      11.442
20160114      26.134      10.802      11.154      11.179
20160115      25.303      10.950      11.061      11.072
20160116      24.598      10.949      11.000      11.076
20160117      24.321      11.196      10.971      11.030
20160118      24.294      10.949      10.907      11.009
20160119      23.985      10.548      10.847      10.912
20160120      23.106      10.344      10.553      10.553
20160121      21.756      10.018      10.296      10.312
20160122      20.396       9.991      10.080      10.082
20160123      19.581      10.379      10.457      10.578
20160124      19.465       9.930      10.076      10.187
20160125      19.587       9.769      10.065      10.081
20160126      20.479       9.946       9.842       9.864
20160127      21.632      12.113      10.581      10.645
20160128      22.717      11.681      11.103      11.484
20160129      23.793      11.046      11.338      11.453
20160130      24.207      11.007      11.116      11.109
20160131      24.298      10.775      11.053      11.115
20160201      24.048      10.580      10.940      10.989
20160202      23.916      10.678      10.580      10.608
20160203      23.442      10.199      10.392      10.468
20160204      22.797       9.936      10.174      10.195
20160205      22.217       9.762       9.951       9.956
20160206      21.724       9.620       9.751       9.781
20160207      21.289      10.107       9.832       9.873
20160208      20.746      10.392      10.010      10.146
20160209      20.570      10.957      10.473      10.610
20160210      20.641      13.097      11.221      11.400
20160211      20.459      12.862      12.183      12.629
20160212      20.205      13.120      12.494      12.672
20160213      20.558      12.351      12.552      12.720
20160214      21.471      12.264      12.480      12.508
20160215      22.374      12.308      12.732      12.959
20160216      23.190      11.681      12.042      12.150
20160217      23.340      11.348      11.570      11.597
20160218      22.948      10.823      11.307      11.345
20160219      22.268      10.316      10.914      10.926
20160220      21.563       9.893      10.351      10.338
20160221      20.796       9.586       9.962       9.977
20160222      20.395       9.379      10.162      10.249
20160223      20.363       9.291       9.743       9.769
20160224      20.361       9.566       9.683       9.736
20160225      20.532       9.248       9.532       9.702
20160226      21.164       9.157       9.411       9.465
20160227      21.830       8.806       8.984       9.034
20160228      22.166       8.806       8.741       8.765
20160229      21.890       8.963       8.707       8.767
20160301      21.617       8.573       8.467       8.499
20160302      20.932       8.171       8.407       8.406
20160303      20.683       7.844       8.323       8.355
20160304      20.564       7.577       8.049       8.052
20160305      19.848       7.285       7.606       7.619
20160306      19.597       7.076       7.350       7.334
20160307      19.614       6.910       7.096       7.100
20160308      19.979       6.902       6.999       7.004
20160309      20.393       6.920       6.855       6.883
20160310      20.858       7.409       6.666       6.686
20160311      21.308       6.927       6.868       6.975
20160312      21.469       7.116       6.938       6.937
20160313      21.528      13.222       6.985       7.051
20160314      21.426      11.080      10.371      11.338
20160315      21.351      11.369      10.993      11.064
20160316      21.534      10.201      10.879      11.020
20160317      22.057       9.914      10.986      11.052
20160318      22.030      10.136      10.586      10.704
20160319      21.210      10.007       9.914      10.060
20160320      20.249       9.861       9.883       9.970
20160321      19.495       9.417       9.671       9.762
20160322      18.990       9.385       9.318       9.350
20160323   -9999.000   -9999.000       8.940       8.963
20160324      17.906       5.960   -9999.000   -9999.000
20160325      17.666       5.704   -9999.000   -9999.000
20160326      17.539       6.080   -9999.000   -9999.000
20160327      17.719       7.869       5.819       5.931
20160328      18.426       7.797       5.548       5.565
20160329      19.524       8.410       5.380       5.418
20160330      20.479       8.795       8.326       8.431
20160331      21.190       7.919       8.080       8.076
20160401      21.854       7.407       7.789       7.790
20160402      22.031       7.050       7.410       7.407
20160403      21.763       6.731       7.058       7.056
20160404      21.185       6.655       6.809       6.811
20160405      20.764       6.747       6.691       6.697
