date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.258       2.669       2.291       3.099
20150802       2.517       2.139       2.546       2.372
20150803       2.350       2.508       2.204       2.207
20150804       2.232       2.052       2.157       2.077
20150805       2.171       2.194       1.841       1.890
20150806       2.717       2.609       2.163       2.207
20150807       2.636       2.297       2.383       2.466
20150808       2.484       2.721       1.859       2.077
20150809       2.702       3.339       2.243       2.362
20150810       2.661       2.869       2.112       2.151
20150811       2.368       1.968       1.817       2.232
20150812       3.575       6.108       2.531       2.355
20150813       3.482       3.175       4.576       4.250
20150814       3.385       3.539       2.997       2.457
20150815       2.700       1.914       2.194       2.487
20150816       2.364       1.901       2.158       2.197
20150817       2.124       1.618       1.906       2.037
20150818       1.801       1.443       1.655       1.768
20150819       1.507       1.377       1.506       1.667
20150820       1.301       1.312       1.421       1.452
20150821       1.122       1.216       1.350       1.264
20150822       0.990       1.143       1.266       1.107
20150823       0.888       0.989       1.183       0.960
20150824       0.807       0.852       1.065       0.808
20150825       0.739       0.784       0.878       0.704
20150826       0.696       0.751       0.797       0.688
20150827       0.706       0.768       0.768       0.676
20150828       0.809       0.868       0.778       0.734
20150829       2.068       1.611       1.067       0.973
20150830       3.592       3.795       2.206       2.161
20150831       3.190       2.693       2.092       3.900
20150901       2.989       2.906       2.209       2.579
20150902       2.265       1.595       1.543       2.073
20150903       1.728       1.329       1.492       1.623
20150904       1.383       1.160       1.294       1.503
20150905       1.252       1.135       1.188       1.272
20150906       1.364       1.708       1.189       1.208
20150907       1.436       1.262       1.544       1.424
20150908       1.657       1.070       1.166       1.109
20150909       1.553       1.136       1.048       1.389
20150910       1.354       0.978       1.031       1.373
20150911       1.134       0.870       0.868       1.223
20150912       0.948       0.798       0.872       1.048
20150913       0.789       0.731       0.797       0.865
20150914       0.690       0.665       0.725       0.739
20150915       0.634       0.597       0.654       0.624
20150916       0.610       0.537       0.598       0.564
20150917       0.591       0.491       0.542       0.554
20150918       0.582       0.455       0.499       0.521
20150919       3.155       1.544       0.574       0.647
20150920      10.613      16.559       1.892       2.579
20150921       5.092       3.860       5.307       9.965
20150922       2.927       1.821       3.063       2.287
20150923       2.082       1.509       1.834       1.708
20150924       1.602       1.329       1.567       1.781
20150925       1.432       1.142       1.316       1.429
20150926       2.246       3.325       1.462       1.530
20150927       3.254       4.733       1.693       2.221
20150928       2.676       1.820       2.654       2.768
20150929       2.334       1.651       1.711       1.789
20150930       3.482       6.654       2.095       2.325
20151001       5.252       7.844       3.534       4.469
20151002       8.704      11.964       7.986       6.652
20151003       5.976       6.588       7.654       7.457
20151004       4.990       7.042       6.136       4.598
20151005       3.751       2.465       3.165       2.912
20151006       2.540       1.648       1.939       1.616
20151007       1.940       1.406       1.651       2.064
20151008       1.561       1.213       1.405       1.679
20151009       1.309       1.058       1.213       1.392
20151010       1.125       0.938       1.058       1.118
20151011       1.137       1.278       1.106       1.171
20151012       1.168       1.063       1.197       1.167
20151013       1.502       1.642       1.147       1.125
20151014       2.624       4.329       1.176       1.424
20151015       4.964       5.199       1.960       2.518
20151016       6.068      12.057       3.585       4.502
20151017       4.776       6.258       8.156       6.656
20151018       4.685       6.128       4.479       3.302
20151019       3.507       2.316       1.973       1.954
20151020       2.660       1.643       1.844       1.681
20151021       2.899       4.070       1.771       2.242
20151022       3.983       1.800       4.086       4.270
20151023       5.404       3.011       3.490       3.780
20151024       4.024       1.731       1.889       3.486
20151025       4.249       6.990       3.403       4.925
20151026       3.974       3.150       2.525       3.729
20151027       2.932       2.055       1.780       3.048
20151028       2.203       1.514       1.764       2.016
20151029       1.751       1.307       1.514       1.913
20151030       1.418       1.138       1.308       1.563
20151031       1.312       1.112       1.248       1.365
20151101       2.488       2.525       1.550       1.659
20151102       5.203       5.556   -9999.000   -9999.000
20151103       5.890       3.624       5.445       3.940
20151104       6.478       9.847       4.212       4.702
20151105       4.914       4.105       3.791       5.255
20151106       3.504       1.811       2.739       2.492
20151107       2.612       1.538       1.855       2.072
20151108       2.651       2.632       1.925       2.622
20151109       2.656       1.619       1.879       2.283
20151110       2.836       5.303       1.806       2.419
20151111       3.676       7.192       1.969       2.874
20151112       3.144       2.029       3.694       2.977
20151113       2.435       1.738       2.752       1.975
20151114       2.056       1.726       1.764       2.085
20151115       1.656       1.393       1.635       1.883
20151116       1.331       1.217       1.398       1.430
20151117       1.151       1.150       1.252       1.212
20151118       1.011       1.011       1.075       1.055
20151119       0.915       0.927       0.996       0.898
20151120       0.875       0.844       0.964       0.890
20151121       0.834       0.845       0.839       0.768
20151122       0.714       0.670       0.785       0.762
20151123       0.641       0.622       0.685       0.670
20151124       0.649       0.688       0.800       0.746
20151125       0.704       0.629       0.595       0.616
20151126       1.039       1.287       0.880       0.885
20151127       1.698       2.159       1.092       1.183
20151128       2.252       4.725       1.485       1.772
20151129       1.789       2.388       2.142       2.204
20151130       1.332       1.514       1.996       1.357
20151201       1.195       2.080       1.412       1.133
20151202       1.078       1.474       1.642       1.277
20151203       1.115       1.748       2.669       1.494
20151204       1.282       2.850       1.594       1.340
20151205       1.323       1.752       2.789       1.582
20151206       1.608       5.768       2.666       1.864
20151207       1.759       2.737       2.491       2.118
20151208       1.564       2.161       3.002       1.456
20151209       2.135       5.688       2.655       1.706
20151210       2.542       3.870       2.710       2.378
20151211       2.500       4.118       3.139       2.063
20151212       2.913      13.352       3.133       2.095
20151213       1.942       2.945       3.795       2.973
20151214       1.552       1.903       2.981       1.164
20151215       1.267       1.661       1.838       1.081
20151216       1.458       1.892       1.752       1.276
20151217       1.299       1.353       1.556       1.254
20151218       2.168       1.735       1.774       1.544
20151219       5.321       2.140       2.017       2.064
20151220       6.925       6.382       4.895      10.086
20151221       9.100       8.979   -9999.000   -9999.000
20151222       5.534       6.107   -9999.000   -9999.000
20151223       3.606       2.358       4.927       4.373
20151224       3.391       4.806       3.659       3.190
20151225       3.601       8.456       3.696       3.039
20151226       3.175       2.120       3.073       2.498
20151227       2.438       1.823       2.100       1.346
20151228       2.021       1.615       1.817       2.135
20151229       1.348       1.333       1.551       1.676
20151230       1.151       1.228       1.321       1.187
20151231       1.085       1.214       1.193       1.093
20160101       0.971       1.246       1.163       1.036
20160102       0.854       1.238       1.219       0.988
20160103       0.641       1.036       1.115       0.832
20160104       0.537       0.919       1.036       0.648
20160105       0.484       0.821       0.919       0.556
20160106       0.468       0.734       0.821       0.465
20160107       0.468       0.704       0.734       0.458
20160108       0.455       0.615       0.657       0.448
20160109       0.452       0.546       0.591       0.434
20160110       0.440       0.487       0.546       0.404
20160111       0.429       0.435       0.494       0.432
20160112       0.438       0.400       0.448       0.382
20160113       0.432       0.353       0.390       0.381
20160114       0.435       0.315       0.356       0.380
20160115       0.435       0.281       0.315       0.384
20160116       0.428       0.252       0.305       0.410
