date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.030       7.366       7.714       6.004
20150802       4.603       5.838       6.965       4.048
20150803       4.014       6.365       5.847       3.948
20150804       3.471       5.115       5.432       3.849
20150805       3.289       4.578       5.107       3.224
20150806       3.473       4.478       4.858       3.164
20150807       3.236       4.120       4.907       3.554
20150808       3.094       5.128       4.666       3.537
20150809       3.070       4.772       4.470       3.147
20150810       2.952       4.140       4.446       2.899
20150811       2.693       3.594       3.989       2.652
20150812       2.551       3.823       4.077       2.888
20150813       2.771       3.802       3.690       2.598
20150814       2.777       3.146       3.537       2.250
20150815       2.542       2.747       3.142       1.333
20150816       2.209       2.441       2.747       2.240
20150817       1.922       2.217       2.434       2.002
20150818       1.689       2.012       2.217       1.780
20150819       1.476       1.968       2.012       1.568
20150820       1.303       1.952       1.968       1.449
20150821       1.161       1.934       1.951       1.312
20150822       1.034       1.917       1.934       1.164
20150823       0.931       1.900       1.917       1.034
20150824       0.846       1.882       1.900       0.930
20150825       0.762       1.865       1.882       0.841
20150826       0.702       1.889       1.865       0.742
20150827       0.696       1.873       1.874       0.708
20150828       0.916       6.110       2.505       0.948
20150829       1.779       7.238       5.353       1.843
20150830       2.693       5.055       5.616       2.053
20150831       2.730       4.985       5.063       2.572
20150901       2.507       4.134       4.883       2.773
20150902       2.239       3.578       4.106       2.268
20150903       1.966       3.111       3.582       2.009
20150904       1.731       2.715       3.111       1.766
20150905       1.541       2.853       2.957       1.680
20150906       1.391       3.094       2.722       1.542
20150907       1.351       2.833       2.757       1.457
20150908       1.605       2.515       2.874       1.372
20150909       1.824       3.002       2.920       1.573
20150910       1.843       2.564       2.869       1.701
20150911       1.751       2.299       2.056       1.668
20150912       1.614       2.091       2.299       1.591
20150913       1.449       1.903       2.091       1.475
20150914       1.293       1.836       1.876       1.302
20150915       1.196       1.822       1.833       1.278
20150916       1.051       1.808       1.822       1.214
20150917       1.012       1.794       1.807       1.086
20150918       1.185       3.459       1.937       1.095
20150919       5.015       5.161       3.707       2.344
20150920      13.764       5.624       5.215       5.476
20150921      14.467       5.654       5.072      13.383
20150922      11.188       4.905       5.074      13.077
20150923       8.451       4.343       4.854      10.241
20150924       6.626       3.668       4.233       7.356
20150925       5.624       3.833       3.805       6.005
20150926       6.661       4.865       4.218       5.966
20150927       9.501       5.617       4.947       7.705
20150928      10.386       5.298       5.188       9.715
20150929       8.554       4.282       4.568       9.271
20150930       7.851       3.822       5.209       9.184
20151001      20.442       6.381       5.560       9.168
20151002      64.282      45.063      17.963      40.888
20151003      59.299      31.569      35.408      98.364
20151004      40.758      21.604      28.234      47.802
20151005      28.062      15.518      20.161      27.986
20151006      19.820      10.910      14.422      20.626
20151007      13.111       8.096      10.909      14.449
20151008       8.758       6.720       8.098       9.871
20151009       6.404       5.804       6.720       7.598
20151010       4.996       5.329       5.812       5.825
20151011       4.068       4.543       5.155       4.675
20151012       3.424       3.892       4.527       3.593
20151013       2.966       3.327       3.892       3.034
20151014       2.929       3.503       3.633       2.853
20151015       2.948       2.837       2.933       2.599
20151016       2.906       2.557       2.932       2.654
20151017       3.146       2.207       2.656       2.780
20151018       3.592       2.013       2.198       2.737
20151019       3.774       1.909       1.990       3.203
20151020       3.551       1.894       1.905       3.620
20151021       3.287       1.881       1.900       3.668
20151022       4.111       3.789       2.930       4.988
20151023       6.404       5.926       3.304       5.768
20151024       7.466       4.444       4.907       7.308
20151025       7.363       4.786       4.673       7.077
20151026       9.113       4.377       4.842       7.451
20151027      12.408       6.285       4.139       8.192
20151028      11.030       4.704       5.163      12.189
20151029       8.336       4.048       4.704       9.253
20151030       6.245       3.473       4.048       7.285
20151031       5.131       3.259       3.588       5.508
20151101       6.580       5.397       3.747       5.454
20151102      21.293      16.357   -9999.000   -9999.000
20151103      32.591      16.214      16.637      31.495
20151104      27.136      12.258      14.735      30.184
20151105      22.273       8.620      10.926      19.618
20151106      16.848       7.000       7.998      15.909
20151107      12.391       6.340       7.000      14.180
20151108      12.149       7.307       6.959      12.500
20151109      11.072       7.266       7.604      12.998
