date          Qobs       Qsimobs        Qsim       Qusi
20150801      71.811      60.647      65.968      67.177
20150802      68.733      57.421      62.339      67.932
20150803      64.798      54.379      59.459      67.314
20150804      61.222      51.675      56.601      61.902
20150805      65.331      55.247      54.951      61.410
20150806      73.327      52.751      54.713      63.693
20150807      82.358      65.545      53.871      71.532
20150808      92.928      63.029      60.576      81.144
20150809      95.051      59.388      63.364      89.765
20150810      92.439      54.228      59.229      90.540
20150811      92.735      59.337      54.390      86.558
20150812      98.830      65.920      57.339      90.089
20150813      98.584      54.477      63.100      97.048
20150814      91.105      50.526      56.625      92.819
20150815      83.288      50.742      52.063      88.103
20150816      83.927      54.097      51.614      81.720
20150817      92.366      51.498      52.470      81.341
20150818      97.760      48.085      51.159      86.785
20150819      96.567      47.070      48.468      93.636
20150820      91.548      46.516      46.755      93.634
20150821      85.689      44.310      45.945      90.511
20150822      81.096      44.430      44.486      82.487
20150823      78.571      41.642      44.017      78.347
20150824      75.723      40.186      42.110      73.638
20150825      72.985      40.037      40.015      70.333
20150826      74.634      45.715      42.716      76.670
20150827      82.148      44.628      48.941      77.666
20150828      86.660      43.726      45.304      81.142
20150829      87.969      55.913      47.907      86.991
20150830      90.153      62.374      56.914      95.351
20150831      89.471      64.411      62.902      97.947
20150901      81.589      50.001      60.603      85.156
20150902      71.632      44.925      51.177      71.007
20150903      62.090      40.818      46.049      64.278
20150904      54.300      37.686      40.295      55.458
20150905      51.396      58.349      40.866      54.294
20150906      49.625      42.626      52.137      51.657
20150907      46.509      37.891      42.552      44.544
20150908      42.675      34.658      38.513      42.590
20150909      38.671      31.662      35.714      40.026
20150910      35.008      29.632      32.655      36.608
20150911      31.802      27.685      29.946      33.084
20150912      29.173      26.848      27.841      29.947
20150913      27.254      27.256      26.996      27.876
20150914      28.681      35.151      27.699      27.879
20150915      33.503      30.884      32.493      29.560
20150916      40.303      38.832      35.312      36.627
20150917      45.119      30.917      35.337      38.978
20150918      45.868      28.604      31.285      40.606
20150919      44.473      31.052      30.123      43.415
20150920      44.675      37.492      30.300      43.436
20150921      43.911      30.720      33.667      43.133
20150922      40.794      26.174      30.676      40.146
20150923      36.726      24.254      27.801      37.678
20150924      33.149      24.570      25.014      34.383
20150925      31.588      36.984      29.397      36.591
20150926      36.727      52.498      38.229      37.796
20150927      43.088      40.816      46.453      37.776
20150928      43.688      35.265      39.506      39.224
20150929      40.732      31.452      35.293      38.969
20150930      37.090      26.341      31.919      37.403
20151001      34.488      43.394      34.013      36.819
20151002      34.407      33.512      43.147      35.428
20151003      39.255      55.044      37.132      35.072
20151004      43.971      47.348      50.528      41.523
20151005      45.057      39.259      43.934      39.989
20151006      43.238      35.687      38.813      40.100
20151007      39.212      33.734      35.362      39.283
20151008      34.283      31.503      33.298      36.790
20151009      29.976      29.839      31.465      32.677
20151010      26.245      26.918      28.938      28.342
20151011      22.975      24.254      26.534      24.560
20151012      20.165      22.387      24.002      21.172
20151013      17.820      20.203      21.981      18.785
20151014      15.876      17.758      19.956      16.512
20151015      14.240      16.217      18.007      14.470
20151016      12.901      14.821      16.464      13.309
20151017      11.762      13.535      14.828      12.080
20151018      10.797      12.366      13.554      10.799
20151019      10.023      11.368      12.360      10.047
20151020       9.410      10.484      11.293       9.337
20151021       9.473      15.083      12.207      10.312
20151022      15.436      29.744      21.914      14.539
20151023      35.599      86.038      37.222      22.760
20151024      47.313      49.622      59.035      39.989
20151025      62.550     109.141      54.201      46.725
20151026      72.263      89.769      95.076      75.450
