date          Qobs       Qsimobs        Qsim       Qusi
20150801       4.556       2.728       4.440       6.551
20150802       5.068       5.519       2.741       3.180
20150803       4.185       2.713       3.928       3.660
20150804       3.496       2.387       2.723       3.337
20150805      16.521      23.534       7.663       8.637
20150806      10.375      12.070      16.816      17.077
20150807       6.764       5.637      10.789       9.893
20150808       5.195       3.676       7.083       5.950
20150809       3.681       2.839       3.469       3.098
20150810       3.103       2.512       2.784       3.046
20150811       2.712       2.291       2.499       2.920
20150812       2.490       2.258       2.307       2.309
20150813       1.987       1.883       2.152       2.283
20150814       1.680       1.682       1.883       1.844
20150815       1.449       1.527       1.682       1.522
20150816       1.280       1.351       1.515       1.352
20150817       1.170       1.206       1.351       1.129
20150818       1.056       1.077       1.206       1.033
20150819       0.975       0.962       1.077       0.962
20150820       0.899       0.858       0.964       0.849
20150821       0.845       0.780       0.858       0.816
20150822       0.792       0.737       0.773       0.740
20150823       0.750       0.665       0.714       0.716
20150824       0.727       0.601       0.650       0.672
20150825       1.352       3.859       0.668       0.739
20150826       4.900      17.225       7.133       4.097
20150827      12.422      21.660      14.248      10.230
20150828      13.273      16.208      18.907      14.259
20150829       6.399       6.660      13.504      12.378
20150830       3.987       3.176       6.750       5.005
20150831       3.125       2.259       3.175       1.944
20150901       2.630       2.015       2.253       2.338
20150902      37.497       7.208       3.004       3.551
20150903      34.935      15.647      16.175      27.400
20150904      16.014       6.379      11.195      18.538
20150905      14.675       8.637       7.383       9.326
20150906      10.456       3.501       7.485       9.800
20150907       7.090       2.702       3.445       5.862
20150908       5.172       2.412       2.692       5.809
20150909       3.846       2.151       2.405       4.859
20150910       3.223       1.922       2.157       3.522
20150911       2.782       1.717       1.926       2.964
20150912       2.460       1.533       1.717       2.594
20150913       3.256       2.713       1.691       2.403
20150914       4.839       2.199       1.993       2.513
20150915      15.414       2.444       2.097       3.567
20150916      19.701      18.115       7.710      15.607
20150917      25.709       8.724      15.129      17.244
20150918      25.149      23.637      15.554      20.921
20150919      14.501       8.626      17.035      18.566
20150920       9.448       4.455       9.501       8.779
20150921       7.140       2.907       4.445       4.963
20150922       6.547       2.631       2.903       4.647
20150923      10.810       9.716       4.248       7.838
20150924       8.183       3.043       6.870       8.503
20150925      12.742      11.449       5.952       6.972
20150926       8.410       3.762       8.326       9.891
20150927       6.092       2.987       3.736       4.473
20150928       4.772       2.681       2.983       5.069
20150929       3.887       2.392       2.675       4.426
20150930       3.383       1.236       2.392       3.510
20151001       3.019       1.109       2.144       2.968
20151002       2.627       0.988       1.919       2.764
20151003       2.261       0.883       0.988       2.429
20151004       2.043       1.373       0.883       1.992
20151005       1.888       1.229       0.789       1.874
20151006       1.814       1.205       0.727       1.630
20151007       1.783       1.090       1.174       1.492
20151008       1.635       0.963       1.041       1.712
20151009       1.566       0.984       1.007       1.544
20151010       1.567       0.861       0.932       1.421
20151011       1.477       0.778       0.856       1.460
20151012       1.387       0.713       0.773       1.237
20151013       1.307       0.670       0.697       1.216
20151014       1.214       0.598       0.628       1.235
20151015       1.114       0.536       0.594       1.129
20151016       1.053       0.480       0.536       0.994
20151017       0.988       0.430       0.483       0.943
20151018       0.971       0.415       0.432       0.908
20151019       0.917       0.386       0.396       0.906
20151020       0.919       0.434       0.370       0.913
20151021       1.014       0.380       0.361       0.966
20151022       1.149       0.834       0.414       0.895
20151023       1.230       0.579       0.549       1.224
20151024       1.092       0.518       0.579       1.086
20151025       1.145       0.880       0.705       1.269
20151026       1.074       0.652       0.599       1.203
20151027       0.967       0.588       0.652       0.990
20151028       0.909       0.529       0.586       0.875
20151029       0.897       0.489       0.528       0.814
20151030       0.870       0.442       0.475       0.835
20151031       1.038       0.848       0.454       0.808
20151101       1.305       0.891       0.543       1.110
20151102       1.169       0.730   -9999.000   -9999.000
20151103       1.012       0.653       0.745       1.091
20151104       0.913       0.599       0.653       0.933
20151105       0.831       0.536       0.585       0.867
20151106       0.836       0.519       0.525       0.729
20151107       3.336       4.860       1.815       2.363
20151108       4.003       6.259       2.868       1.055
20151109       5.435       6.532       4.795       5.049
20151110       4.186       2.142       5.595       4.322
20151111       2.808       1.776       2.031       1.881
20151112       2.045       1.590       1.774       2.549
20151113       1.997       1.464       1.593       1.924
20151114       1.854       1.354       1.432       1.740
20151115       1.411       1.187       1.325       1.691
20151116       1.151       1.063       1.187       1.343
20151117       1.227       0.951       1.063       1.027
20151118       1.245       0.852       0.951       1.006
20151119       1.017       0.763       0.852       1.058
20151120       0.823       0.683       0.763       0.945
20151121       0.805       0.611       0.683       0.708
20151122       0.973       0.547       0.611       0.638
20151123       1.310       0.490       0.547       0.798
20151124       1.356       0.439       0.490       1.028
20151125       1.145       0.393       0.439       1.210
20151126       0.836       0.352       0.402       1.044
20151127       0.930       0.315       0.946       0.980
20151128       1.782       6.618       0.315       0.780
20151129       1.672       1.773       3.333       2.363
20151130       1.240       1.107       1.493       0.706
20151201       1.018       0.969       1.107       0.962
20151202       1.043       0.868       0.984       0.970
20151203       0.954       0.777       0.868       0.936
20151204       0.924       0.696       0.777       0.926
20151205       1.119       0.623       2.571       1.767
20151206       1.562       5.199       0.804       0.994
20151207       1.446       4.474       1.783       1.694
20151208       1.265       1.574       3.216       1.954
20151209       2.284       4.786       1.847       0.792
20151210       3.127       3.732       2.487       1.807
20151211       2.290       4.540       2.502       2.238
20151212       1.774       2.124       2.972       1.980
20151213       1.464       1.893       2.124       1.287
20151214       1.365       1.696       1.893       1.325
20151215       1.588       1.520       1.696       1.146
20151216       2.186       1.376       1.520       1.291
20151217       2.199       1.233       1.362       1.958
20151218       1.304       1.105       1.274       2.010
20151219       1.154       1.505       1.545       1.631
20151220       2.178       2.288       2.638       2.630
20151221       3.817       7.477   -9999.000   -9999.000
20151222       3.089       4.650   -9999.000   -9999.000
