date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.043       4.405       4.976       5.518
20150802       6.204       3.981       2.187       3.078
20150803       5.202       6.856       4.320       3.981
20150804       3.706       2.362       5.179       4.345
20150805       4.051       2.697       2.669       2.594
20150806       3.350       2.021       2.885       3.368
20150807       3.221       1.917       1.991       2.625
20150808       3.234       2.754       2.477       3.170
20150809       2.640       1.887       4.302       4.710
20150810       2.321       1.714       1.859       2.227
20150811       2.203       1.523       1.689       2.095
20150812       2.358       1.871       1.594       1.893
20150813       1.975       1.428       1.707       1.976
20150814       1.736       1.315       1.443       1.708
20150815       1.622       1.261       1.325       2.500
20150816       1.615       1.227       1.309       1.576
20150817       1.558       1.158       1.214       1.464
20150818       1.435       1.103       1.167       1.331
20150819       1.295       1.050       1.109       1.314
20150820       1.214       1.000       1.050       1.223
20150821       1.161       0.951       1.000       1.127
20150822       1.129       0.906       0.952       1.078
20150823       1.129       0.865       0.906       1.038
20150824       1.079       0.822       0.868       1.029
20150825       1.071       0.783       0.822       0.990
20150826       1.068       0.747       0.783       0.906
20150827       1.195       0.719       0.857       1.099
20150828       1.757       6.448       8.230       9.292
20150829       1.530       3.068       4.741       2.319
20150830       1.341       0.956       2.211       1.066
20150831       1.237       0.874       1.525       1.003
20150901       1.152       0.815       0.916       1.075
20150902       1.087       0.768       0.821       1.030
20150903       1.015       0.741       0.779       0.903
20150904       1.687       0.698       0.741       0.871
20150905       3.956       9.717       1.736       2.393
20150906       3.760       5.028       9.627       6.272
20150907       4.162       5.261       4.709       2.881
20150908       3.368       0.962       5.417       3.563
20150909       2.400       0.974       1.524       1.131
20150910       1.895       0.921       0.966       1.564
20150911       1.602       0.876       0.861       1.541
20150912       1.425       0.832       0.876       1.272
20150913       1.322       0.788       0.832       1.147
20150914       1.237       0.759       0.793       1.079
20150915       1.160       0.715       0.780       1.022
20150916       1.075       0.826       0.749       1.006
20150917       1.028       0.702       0.787       0.817
20150918       2.906       1.367       0.967       1.247
20150919      11.409      15.757       4.796       5.484
20150920       8.192      14.968       9.008       9.163
20150921       4.903       4.483       8.093       6.336
20150922       3.124       1.027       3.816       2.439
20150923       2.403       1.000       1.030       0.884
20150924       1.980       0.939       0.987       1.732
20150925       3.223       6.129       1.864       2.729
20150926       3.994       5.396       5.379       4.446
20150927       3.479       2.854       5.866       3.570
20150928       2.597       1.114       1.743       1.418
20150929       2.116       1.063       1.108       1.391
20150930       1.917       0.916       1.085       1.648
20151001       4.202       5.077       2.250       2.815
20151002       4.880       4.261       4.992       4.171
20151003       4.746       7.661       4.131       3.822
20151004       3.112       2.275       5.574       3.925
20151005       2.774       2.899       2.703       1.557
20151006       2.217       1.263       1.148       1.437
20151007       1.814       1.201       1.263       1.842
20151008       1.569       1.143       1.201       1.614
20151009       1.477       1.095       1.143       1.401
20151010       1.399       1.038       1.091       1.260
20151011       1.319       0.995       1.038       1.257
20151012       1.258       0.905       0.993       1.213
20151013       1.197       0.860       0.946       1.160
20151014       1.139       0.818       0.898       1.102
20151015       1.091       0.778       0.818       0.965
20151016       1.047       0.778       0.782       0.979
20151017       1.018       0.736       0.745       0.900
20151018       0.992       0.716       0.730       0.917
20151019       0.967       0.670       0.705       0.894
20151020       0.947       0.638       0.677       0.830
20151021       0.961       0.644       0.701       0.855
20151022       1.366       1.346       1.624       2.050
20151023       8.357      15.475       4.609       4.845
20151024       3.185       3.627       9.954       8.664
20151025       4.170       4.978       3.659       2.416
20151026       3.498       3.389       5.973       4.610
20151027       2.938       2.836       3.417       2.684
20151028       2.344       1.026       1.630       1.538
20151029       2.006       0.976       1.032       1.179
20151030       1.776       0.929       0.976       1.618
20151031       1.640       0.898       0.943       1.362
20151101       1.555       0.913       1.012       1.536
20151102       1.506       0.871   -9999.000   -9999.000
20151103       1.357       0.818       0.918       1.420
20151104       2.581       5.656       1.932       2.424
20151105       2.065       1.002       3.335       1.908
20151106       1.751       0.932       0.953       0.810
20151107       1.697       1.133       1.090       1.782
20151108       1.723       1.186       1.109       1.436
20151109       1.579       0.994       1.070       1.363
20151110       3.694       3.916       1.598       2.282
20151111       7.297      16.700       5.245       5.925
20151112       3.615       6.205      11.873       9.396
20151113       2.547       1.664       4.484       2.730
20151114       2.116       1.458       1.318       0.836
20151115       3.016       7.033       1.641       2.256
20151116       2.235       1.422       5.642       3.452
20151117       1.825       1.310       2.075       1.374
20151118       1.567       1.212       1.248       1.369
20151119       1.331       1.148       1.203       1.532
20151120       1.344       1.093       1.148       1.151
20151121       1.281       1.041       1.093       1.163
20151122       1.287       1.001       1.041       1.287
20151123       1.263       0.951       2.155       3.391
20151124       1.426       2.339       1.229       1.694
20151125       1.336       1.630       1.873       1.531
20151126       3.384       1.660       3.866       3.265
20151127      19.196      16.667       6.476       8.044
20151128       8.626      12.151      10.751      19.194
20151129       3.655       2.604      10.220       6.697
20151130       2.611       1.210       2.668       1.522
20151201       2.463       3.672       1.278       1.536
20151202       3.654       5.504       4.147       5.642
20151203       3.788      10.620       3.858       3.527
20151204       2.397       5.042       7.322       4.686
20151205       4.822       4.778       4.653       2.579
20151206       3.889      11.394       4.414       5.764
20151207       5.376      20.362       7.220       4.858
20151208       3.704       5.916       8.395       5.772
20151209       5.432       7.947       4.785       2.422
20151210       4.161       5.685       4.442       4.838
20151211       3.013       5.461       4.507       4.028
20151212       3.101       7.244       4.131       3.065
20151213       2.505       3.270       4.610       2.671
20151214       2.125       1.839       2.262       1.518
20151215       1.996       1.554       1.669       1.805
20151216       1.733       1.395       1.830       2.292
20151217       2.948       1.372       4.409       5.082
20151218      10.408       4.807       3.206       3.656
20151219      11.937      10.678      10.781      20.017
20151220      12.846      11.113      14.139      15.184
20151221       8.192       8.349   -9999.000   -9999.000
20151222       4.569       4.208   -9999.000   -9999.000
20151223       3.376       2.275       3.435       3.016
20151224       3.039       3.623       2.224       2.316
20151225       4.470       3.938       1.824       2.091
20151226       3.298      10.364       2.647       2.865
20151227       2.528       2.679       5.050       3.663
20151228       2.707       1.514       3.344       2.532
20151229       2.195       1.449       2.564       3.070
20151230       2.474       6.534       2.783       3.828
20151231       4.081       7.050       4.379       3.896
20160101       2.293       3.629       6.143       4.091
20160102       1.770       2.006       3.208       1.566
20160103       1.589       1.391       1.692       1.034
20160104       2.104       1.325       1.391       1.222
20160105       2.638       1.262       1.325       1.622
20160106       2.131       1.202       1.262       2.149
20160107       1.324       1.145       1.202       1.708
20160108       1.314       1.091       1.145       1.153
20160109       2.112       1.039       1.091       1.204
20160110       2.055       0.990       1.039       1.562
20160111       1.221       0.946       0.990       1.844
20160112       0.898       0.903       0.946       1.234
20160113       0.762       0.860       0.903       0.821
20160114       0.690       0.819       0.860       0.772
20160115       0.729       0.780       0.819       0.637
20160116       0.676       0.744       0.780       0.736
20160117       0.703       0.708       0.744       0.672
20160118       0.750       0.695       0.708       0.704
20160119       0.810       0.668       0.683       0.752
20160120       0.847       0.629       0.660       0.736
20160121       0.854       0.599       0.629       0.822
20160122       0.834       0.570       0.826       1.692
20160123       0.848       0.540       0.988       1.684
20160124       0.730       1.533       1.829       2.354
20160125       1.634       4.419       5.371       5.045
20160126       6.307      16.488       3.959       2.418
20160127       4.408      12.475      10.621       8.771
20160128       2.254       5.715       9.085       5.188
20160129       2.405       3.903       4.945       2.139
20160130       4.797      18.684       2.490       1.474
20160131       1.644       6.415      12.428       7.021
20160201       1.358       1.978       4.432       1.707
20160202       1.281       1.900       1.664       0.738
20160203       1.285       2.245       1.370       1.171
20160204       1.420       3.389       1.748       1.640
20160205       1.378       3.692       3.562       3.259
20160206       1.382       3.081       2.916       1.904
20160207       1.579       6.165       3.378       2.477
20160208       1.843       9.835       3.130       2.416
20160209       1.397       7.970       6.188       2.512
20160210       1.167       2.715       5.625       2.103
20160211       1.055       1.223       2.280       0.785
20160212       0.982       1.066       1.102       0.573
20160213       1.342       1.015       1.070       1.031
20160214       2.085       0.967       1.015       1.101
20160215       2.404       0.921       0.967       1.635
20160216       1.736       0.878       0.921       0.921
20160217       1.008       3.362       1.179       2.271
20160218       0.878       7.194       2.458       3.992
20160219       0.870       1.148       4.499       5.002
20160220       0.814       2.385       1.148       1.149
20160221       0.856       2.625       1.467       2.745
20160222       0.766       1.312       1.728       2.300
20160223       0.785       1.140       1.096       2.744
