
Felt: narsjo


Dato         Nedbør  Temperatur  Snømag.    Simulert   Observert         H90         L90         H50         L50
25/06-2016      15.5      13.0       0.0       1.973       2.714  -10000.000  -10000.000  -10000.000  -10000.000
26/06-2016       0.0      12.5       0.0       2.163       2.888  -10000.000  -10000.000  -10000.000  -10000.000
27/06-2016       5.7      15.2       0.0       2.082       2.868  -10000.000  -10000.000  -10000.000  -10000.000
28/06-2016       1.5      11.2       0.0       2.027       2.790  -10000.000  -10000.000  -10000.000  -10000.000
29/06-2016       2.0       7.5       0.0       1.878       2.681  -10000.000  -10000.000  -10000.000  -10000.000
30/06-2016       0.2      10.2       0.0       1.727       2.522  -10000.000  -10000.000  -10000.000  -10000.000
01/07-2016       1.2       8.3       0.0       1.602       2.416  -10000.000  -10000.000  -10000.000  -10000.000
02/07-2016       4.9       9.0       0.0       1.614       2.358  -10000.000  -10000.000  -10000.000  -10000.000
03/07-2016       7.6       7.8       0.0       1.794       2.391  -10000.000  -10000.000  -10000.000  -10000.000
04/07-2016       0.5       6.0       0.0       1.790       2.403  -10000.000  -10000.000  -10000.000  -10000.000
05/07-2016       0.6       7.6       0.0       1.638       2.428  -10000.000  -10000.000  -10000.000  -10000.000
06/07-2016       3.3       8.7       0.0       1.589       2.517  -10000.000  -10000.000  -10000.000  -10000.000
07/07-2016       0.0       5.1       0.0       1.513       2.524  -10000.000  -10000.000  -10000.000  -10000.000
08/07-2016       0.0       7.0       0.0       1.390       2.393  -10000.000  -10000.000  -10000.000  -10000.000
09/07-2016       0.0       9.1       0.0       1.307       2.209  -10000.000  -10000.000  -10000.000  -10000.000
10/07-2016       3.5       9.4       0.0       1.304       2.069  -10000.000  -10000.000  -10000.000  -10000.000
11/07-2016       8.7      12.5       0.0       1.510       2.004  -10000.000  -10000.000  -10000.000  -10000.000
12/07-2016       7.3      10.9       0.0       1.781       2.073  -10000.000  -10000.000  -10000.000  -10000.000
13/07-2016       8.6      11.1       0.0       2.042       2.258  -10000.000  -10000.000  -10000.000  -10000.000
14/07-2016       2.2       9.6       0.0       2.097       2.379  -10000.000  -10000.000  -10000.000  -10000.000
15/07-2016       0.0       8.4       0.0       1.900       2.374  -10000.000  -10000.000  -10000.000  -10000.000
---------------------------------------------------------------------------------------------------------------
16/07-2016       0.0       9.0       0.0       1.698       2.125       2.437       1.914       2.269       2.018
17/07-2016       5.2       9.3       0.0       1.693       2.090       3.382       1.675       2.396       1.933
18/07-2016       4.9       8.5       0.0       1.795       2.197       4.877       1.548       2.626       1.916
19/07-2016       1.5       6.7       0.0       1.772       2.184       4.459       1.506       2.871       1.804
20/07-2016       0.0       8.2       0.0       1.634       2.061       4.770       1.436       2.606       1.718
21/07-2016       0.0      12.5       0.0       1.490       1.942       4.604       1.291       2.456       1.555
22/07-2016       0.1      14.5       0.0       1.382       1.803       4.257       1.227       2.357       1.499
23/07-2016       0.2      14.4       0.0       1.281       1.739       4.001       1.163       2.217       1.411
24/07-2016       0.2      12.6       0.0       1.209       1.707       4.046       1.122       2.097       1.397


Felt: aulestad


Dato         Nedbør  Temperatur  Snømag.    Simulert   Observert         H90         L90         H50         L50
25/06-2016       9.8      12.5       0.3      13.972       6.690  -10000.000  -10000.000  -10000.000  -10000.000
26/06-2016       0.1      15.4       0.2      12.269       6.025  -10000.000  -10000.000  -10000.000  -10000.000
27/06-2016      15.6      12.9       0.2      17.052      17.137  -10000.000  -10000.000  -10000.000  -10000.000
