regine_area;main_no;point_no;param_key;version_no_end;station_name;station_status_name;dt_start_date;dt_end_date;percent_missing_days;first_year_regulation;latitude;longitude;utm_east_z33;utm_north_z33;regulation_part_area;regulation_part_reservoirs;transfer_area_in;transfer_area_out;drainage_basin_key;area_norway;area_total;comment;drainage_dens;dt_registration_date;dt_regul_date;gradient_1085;gradient_basin;gradient_river;height_minimum;height_hypso_10;height_hypso_20;height_hypso_30;height_hypso_40;height_hypso_50;height_hypso_60;height_hypso_70;height_hypso_80;height_hypso_90;height_maximum;length_km_basin;length_km_river;ocean_polar_angle;ocean_polar_distance;perc_agricul;perc_bog;perc_eff_bog;perc_eff_lake;perc_forest;perc_glacier;perc_lake;perc_mountain;perc_urban;prec_intens_max;utm_zone_gravi;utm_east_gravi;utm_north_gravi;utm_zone_inlet;utm_east_inlet;utm_north_inlet;br1_middelavrenning_1930_1960;br2_Tilsigsberegning;br3_Regional_flomfrekvensanalyse;br5_Regional_lavvannsanalyse;br6_Klimastudier;br7_Klimascenarier;br9_Flomvarsling;br11_FRIEND;br12_GRDC;br23_HBV;br24_middelavrenning_1930_1960;br26_TotalAvlop;br31_FlomserierPrim;br32_FlomserierSekundar;br33_Flomkart_aktive_ureg;br34_Flomkart_aktive_ureg;br38_Flomkart_aktive_ureg_periode;br39_Flomkart_nedlagt_stasjon
1;48;0;1001;1;Ørje;Aktiv;01.09.1963 12:00;10.04.2016 12:00;0,218568;;59,48267365;11,65055561;310319;6598578;0,999930441;0,14876315;0;0;1;1005,482422;1006,780029;;;12.05.2015 00:00;;0,930000007;;2,619999886;92;137;156;172;189;205;224;246;271;296;406;65,37999725;87,18000031;;;12,65999985;4,46999979;;2,319999933;73,37999725;0;7,840000153;0;0,540000021;;;;;;;;;Y;;;;;;;;;;;;Y;;;;
1;49;0;1001;1;Brekke;Aktiv;01.09.1963 12:00;10.04.2016 12:00;0,551624;;59,1476326;11,55638409;303060;6561574;0,999927819;0,172243476;0;0;6;1366,698242;1385,569946;;;12.05.2015 00:00;;0,319999993;;1,669999957;92;127;140;157;173;189;205;225;252;285;406;102,3399963;136,9600067;;;11,60000038;3,930000067;;3,089999914;74,27999878;0;8,710000038;0;0,479999989;;;;;;;;;;;;;;;;;;;;;Y;;;;
1;50;0;1001;2;Tistedalsfoss;Aktiv;01.09.1963 12:00;10.04.2016 12:00;0,23418;;59,12735367;11,44301224;296460;6559658;0,999637544;0,195431367;0;0;17;1553,702393;1572,640015;;;12.05.2015 00:00;;0,289999992;;1,850000024;79;122;138;153;168;182;199;218;244;281;406;104,8600006;144,6499939;;;10,82999992;3,930000067;;3,089999914;74,80000305;0;9,010000229;0;0,479999989;;;;;;;;;;;;;;;;;;Y;Y;;Y;;;;
1;56;0;1001;1;Verket;Nedlagt;05.08.1992 12:00;31.12.1999 12:00;54,491682;;59,71277618;11,55492687;306236;6624457;;;;;20;255,3000031;255,3000031;;;12.05.2015 00:00;;-999;;-999;155;170;184;200;218;236;255;274;285;303;390;28,56999969;-999;;;1,879999995;7,920000076;;5,670000076;78,68000031;0;10,93000031;0;0,059999999;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;0;1001;1;Hådammen;Aktiv;01.01.1990 12:00;16.04.2016 12:00;0,020827;;61,05477142;12,02073479;339180;6772548;0;0;0;0;22;38,06819916;38,06999969;;;12.05.2015 00:00;;15,43000031;7,409999847;13,34000015;449;473;492;517;546;566;596;627;654;679;744;10,47999954;16,40999985;200,2299957;;0,850000024;26,96999931;;0,810000002;70,05000305;0;1,200000048;0;0;;33;335832;6774842;33;331246;6778242;;;;;;;;;;;;;;Y;Y;;;
2;2;0;1001;2;Nor;Nedlagt;01.11.1936 12:00;31.12.1997 12:00;0;;60,34104156;12,04530525;336930;6693048;;;;;23;18514,66211;18936,53906;;;12.05.2015 00:00;;2,869999886;;5,510000229;147;305;429;550;672;749;822;898;985;1117;2170;285,6000061;53,88000107;;;2,970000029;10,22000027;;0,07;55,61999893;0;2,74000001;21,93000031;0,150000006;;;;;;;;Y;Y;;;;;;;;;Y;;;;;;;
2;10;0;1001;1;Sogna;Aktiv;06.02.1995 12:00;22.05.2013 12:00;21,912887;;60,16962433;11,06362534;281650;6676813;;;;;28;22,5;22,5;;;12.05.2015 00:00;;7,989999771;11,14000034;6,849999905;130;162;179;189;200;200;201;203;205;206;225;7,5;7,119999886;194,0099945;;26,76000023;0,180000007;;-999;32,13000107;0;0;0;8,710000038;;33;282473;6680134;33;281708;6682361;;;;;;;;;;;;;;;Y;;;
2;11;0;1001;0;Narsjø;Aktiv;22.02.1930 12:00;16.04.2016 12:00;0,003178;;62,36131668;11,47878265;317821;6919394;0;0;0;0;29;119,131897;119,1299973;;;12.05.2015 00:00;;68,79000092;12,28999996;64,48999786;737;777;824;879;915;939;968;1004;1052;1106;1593;17,88999939;0,779999971;307,730011;;0,409999996;11,72999954;;1,649999976;23,86000061;0;3,119999886;48,13000107;0;;33;320761;6912838;33;325149;6903553;Y;;Y;Y;Y;;Y;Y;;Y;Y;;Y;;Y;Y;;
2;12;0;1001;0;Nedre Sjodalsvatn;Nedlagt;25.09.1930 12:00;31.03.2016 12:00;16,06211;;61,54837418;8,93450737;177943;6838879;;;;;133;465,4500122;465,4500122;;;12.05.2015 00:00;;11,47000027;4,550000191;11,35999966;953;1033;1191;1341;1401;1472;1551;1653;1758;1895;2363;36,75;48,24000168;322,2200012;;0;1;;3,890000105;4,480000019;9,270000458;8,979999542;72,31999969;0;;33;159693;6832482;33;142138;6840586;Y;;Y;Y;Y;;Y;Y;;;;;;;;;;
2;13;0;1001;0;Nedre Sjodalsvatn;Aktiv;25.09.1930 12:00;16.04.2016 12:00;16,053886;;61,56027222;8,927066803;177672;6840237;0;0;0;0;30;479,9700012;479,9700012;;;12.05.2015 00:00;;10,94999981;4,96999979;11,09000015;940;1014;1168;1320;1391;1462;1541;1643;1752;1892;2362;36,06999969;50,56000137;322,2200012;;0;1,019999981;;4,190000057;5,25;9,039999962;9,260000229;71,48000336;0;;33;160285;6832658;33;142130;6840583;Y;;Y;Y;Y;;Y;Y;;;Y;;Y;;Y;Y;;
2;15;0;1001;0;Breiddalsvatn ndf.;Aktiv;02.04.1917 12:00;16.04.2016 12:00;1,440221;1944;62,00461578;7,638807774;115094;6896570;0,997414172;0,395591974;0;127,2900009;32;127,6200027;127,6200027;;;12.05.2015 00:00;;6,590000153;26,95000076;17,93000031;877;925;987;1024;1089;1160;1249;1333;1403;1471;1853;20,92000008;23,45999908;322,2200012;;0;0,74000001;;6,019999981;1,919999957;0,879999995;11;85,26999664;0;;33;107119;6900739;33;95464;6900835;Y;Y;Y;Y;;;;;;;Y;;;;;;Y;
2;17;0;1001;0;Blaker;Aktiv;00.01.1900 00:00;27.12.1984 12:00;48,38557;1881;60,00405121;11,29932308;293682;6657636;0,995598912;0,171546891;23,84000015;58,09000015;82;38166,82422;38588,10938;;;12.05.2015 00:00;;3,650000095;13,84000015;6,050000191;90;258;387;520;665;780;882;984;1121;1353;2463;325,0100098;27,75;321,8900146;;4,980000019;7,880000114;;0,449999988;48,25;0,870000005;4,079999924;27,61000061;0,310000002;;33;258893;6827171;33;350260;6970926;;;;;;;;;;;;;Y;;;;Y;
2;17;0;1001;0;Blaker;Aktiv;00.01.1900 00:00;27.12.1984 12:00;48,38557;1881;60,00405121;11,29932308;293682;6657636;0,995598912;0,171546891;23,84000015;58,09000015;82;38166,82422;38588,10938;;;12.05.2015 00:00;;3,650000095;13,84000015;6,050000191;90;258;387;520;665;780;882;984;1121;1353;2463;325,0100098;27,75;321,8900146;;4,980000019;7,880000114;;0,449999988;48,25;0,870000005;4,079999924;27,61000061;0,310000002;;33;258893;6827171;33;350260;6970926;;;;;;;;;;;;;Y;;;;Y;
2;20;0;1001;1;Kittilstad;Nedlagt;03.12.1965 12:00;14.10.1985 12:00;3,555678;;61,89695358;8,22781086;144556;6881262;;;;;36;1540,130005;1540,130005;;;12.05.2015 00:00;;10,06000042;25,25;13,18000031;416;860;1016;1148;1258;1337;1413;1484;1551;1657;2082;53,59999847;65,55000305;322,2200012;;0,360000014;0,360000014;;0,230000004;12,52000046;7,650000095;4,880000114;72,12000275;0,01;;33;121285;6889529;33;95487;6900852;;;;;;;;;;;;;;;;;;
